tu_id	speaker	start	end	duration	text
0	BO089	20.850	21.509	0.659	 buongio[rno]
1	BO087	21.230	22.255	1.025	 [ecco] buongiorno.
2	BO089	25.710	26.133	0.423	 xxx
3	BO087	26.231	26.693	0.462	 {tossisce}
4	BO087	26.765	29.318	2.553	 no. ho un po' freddo, si puo' chiudere la porta?
5	BO087	29.848	30.909	1.061	 vi dispiace?
6	???	31.075	32.009	0.934	 (a ma per chiudere?)
7	???	32.476	33.231	0.755	 xxx vado io.
8	BO087	37.204	38.050	0.846	 allora lei,
9	BO089	38.261	39.440	1.179	 [bibliografia {P} sì.]
10	BO087	38.270	39.429	1.159	 [<bibliografia>,]
11	BO087	39.617	40.570	0.953	 magistrale.
12	BO089	40.590	43.400	2.810	 magistrale {P} ho portato anche::: [il repertorio,]
13	BO087	42.270	45.451	3.181	 [brava, {P} che bibliogra]fia ha port~ {P} che bibliografia ha[scelto?]
14	BO089	44.828	45.570	0.742	 [e::hm]:,
15	BO089	46.229	49.750	3.521	 delle: trad~ {P} delle opere cinesi tradotte in italian[o::: {P} e una]
16	BO087	48.950	50.190	1.240	 [perché è] spento?
17	BO089	50.284	51.452	1.168	 <bibliografia>,
18	BO089	52.531	53.470	0.939	 retrospettiva.
19	BO087	53.009	55.522	2.513	 {bisbiglio_incomprensibile}
20	BO087	62.900	65.000	2.100	 è spento? {P} o ancora non funziona?
21	BO087	66.088	67.291	1.203	 no {P} è proprio spento.
22	BO089	67.320	69.110	1.790	 sì comunque è freddo, {P} anche fuori.
23	BO089	70.580	73.011	2.431	 è una bibliografia retrospettiva, che=m:::h
24	BO089	73.190	74.611	1.421	 praticamente=m::h
25	BO089	75.010	81.853	6.843	 elenca le informazioni delle opere: pubbli~ {P} delle traduzione pubblicate dal millenovecento al millenovecentosei in italia,
26	BO089	82.230	83.510	1.280	 quindi è anche una [biblio~]
27	BO087	83.190	84.250	1.060	 [delle] opere cines[i]?
28	BO089	84.132	85.258	1.126	 [ci]nesi, {P} sì,
29	BO089	85.686	87.305	1.619	 e::::hm::::
30	BO089	87.870	93.703	5.833	 °cosa° stavo dicendo, {P} quindi è anche nazionale, {P} una cosa, {P} io credo di aver sbagliato, {P} perché ho scr[itto prim]ario e invece
31	BO087	92.520	92.878	0.358	 [mh.]
32	BO087	93.799	97.680	3.881	 e ovviamente lei adesso mi dirà che differenza c' è [tra primaria e secondaria] no?
33	BO089	95.952	97.447	1.495	 [sì {ride} esatto.]
34	BO089	97.707	106.679	8.972	 primaria perché m:::h praticamente elenca le informazioni anal~ {P} le informazioni riguardanti: i vari le varie=m:::h {P} i vari documenti, analizzando
35	BO089	106.845	108.454	1.609	 direttamente il documen[to.]
36	BO087	108.130	108.523	0.393	 [mh mh,]
