tu_id	speaker	start	end	duration	text
0	TOR010	1.790	5.800	4.010	 adesso sta registrando {P} in quale paese vive?
1	TOI112	7.950	15.320	7.370	 io vivo in un comune: al confine della provincia fra torino e cuneo di cin~ circa cinquemila abitanti che si chiama villafranca piemonte
2	TOR010	16.210	21.730	5.520	 okay {P} è cambiato molto nel corso degli anni questo paese? {P} se sì come?
3	TOI112	22.280	35.450	13.170	 mah questo paese è sempre rimasto:: com'era una volta agricolo pero' l'agricoltura è cambiata che è diventata intensiva invece di {P} di un'agricoltura più::: più di piccole realtà
4	TOR010	36.469	36.554	0.085	 °okay°
5	TOR010	38.310	40.480	2.170	 e:h come si trova in questo paese? le piace?
6	TOI112	42.040	50.430	8.390	 mah io sono nato qua: e::hm sono abituato qua mh sto bene qua {P} sicuramente ci sono posti migliori pero'::
7	TOI112	52.360	56.108	3.748	 essendo:: nato qua e::hm
8	TOI112	57.535	58.235	0.700	 va bene così
9	TOR010	60.680	62.760	2.080	 sono cambiate le persone che vivono nel paese?
10	TOI112	64.565	71.891	7.326	 persone che vivono nel paese::: sono molto più::: sulle sue rispetto a una volta cioè basta fare un esempio
11	TOI112	72.614	95.915	23.301	 cioè: io vengo dalla campagna: e::hm lavoro ancora adesso in campagna cioè una volta e:hm per esempio quando si aveva bisogno di:: un'attrezzatura agricola si andava: a chieder~ a richiederla a un vicino mh che te la dava in prestito e poi magari il vicino veniva a:: mh prenderla da te e tu gliela davi in prestito
12	TOI112	97.012	116.312	19.300	 m::h non era raro magari gente che andava a chiedere e:hm magari un'attrezzatura in prestito magari a un chilometro due chilomentri di distanza cosa che adesso non succede più perché piuttosto di andare a prendere in prestito un'attrezzatura uno se la compera perché poi:: e:hm
13	TOI112	117.012	131.530	14.518	 e:hm {P} mh la gente si è chiusa maggiormente quindi e::hm è una cosa un po' reciproca io non vado a prendere una cosa in presito da te e::: pero' mi dà fastidio se tu vieni a prenderla da me solo proprio in casi no?
14	TOI112	132.011	143.530	11.519	 quindi è molto raro che {P} quindi questa c'è stata una chiusura delle persone che ognuno si fa gli affari suoi è molto meno espansiva è molto meno:: socializza meno di una volta
15	TOI112	145.050	145.170	0.120	 mh
16	TOR010	145.585	148.955	3.370	 e ti piace questo: cioè ti piaceva più prima o::?
17	TOI112	149.850	171.397	21.547	 mah una volta: era così e:: un po' pe:r mancanza di disponibilità finanziaria e ci si aiutava di più adesso comunque con il benessere provato il benessere ha provocato e:hm meno:: mh problema finanziari quindi mh la gente e:: si ha è più abituata a fare da sè
18	TOI112	172.468	179.313	6.845	 e:::hm insomma per me va bene {P} anche adesso non è che:
19	TOR010	181.690	181.910	0.220	 °okay°
20	TOR010	183.005	185.745	2.740	 e:hm ti ricordi come hai conosciuto tua moglie?
