tu_id	speaker	start	end	duration	text
0	TO034	2.765	7.190	4.425	 te la metto qui poi si sente molto di più la mia voce che la voce di vabbè [comunque]
1	TO033	6.059	9.224	3.165	 [beh possiamo parla]re delle recenti
2	TO033	10.937	15.370	4.433	 informazioni che ci sono pervenute anzi che mi sono pervenute sottobanco
3	TO029	15.747	18.653	2.906	 ma infatti xxxx una cosa:::
4	TO033	18.657	21.619	2.962	 no vabbè poi a me non me ne frega niente nel senso che per me:::
5	TO033	22.429	22.792	0.363	 cioè
6	TO033	23.717	25.911	2.194	 mi prendo tutte le responsabilità [del caso]
7	TO029	25.330	26.127	0.797	 [ma che è succe]sso?
8	TO033	27.048	28.912	1.864	 praticamente m:::h
9	TO033	30.281	33.085	2.804	 la scorsa settimana dopo che ho dato l' esame sono andata da lucilla,
10	TO033	33.793	34.134	0.341	 e:::
11	TO029	34.227	34.757	0.530	 a mila[no?]
12	TO034	34.598	35.200	0.602	 [a mi]lano
13	TO033	36.266	39.002	2.736	 e:: ci siam bevute:: due birre così
14	TO033	39.412	40.310	0.898	 [e:::]
15	TO034	39.769	40.964	1.195	 [poi] vi siete lasciate andare,
16	TO033	40.969	44.447	3.478	 e riflettevamo sul futuro precario che ci aspetta,
17	TO033	45.490	46.298	0.808	 e:::hm
18	TO033	46.967	48.670	1.703	 e lei mi ha detto:::
19	TO033	49.728	52.923	3.195	 che::: che marina aveva parlato con con la rossi
20	TO033	54.156	56.893	2.737	 e:::h la quale le aveva detto::: tipo::
21	TO033	57.765	62.023	4.258	 che se lei voleva fare un dottorato:: lei poteva::: farglielo avere,
22	TO033	62.435	63.599	1.164	 parlando con verdi
23	TO033	64.182	66.478	2.296	 e:: per avere un dottorato alla [xxx]
24	TO034	65.567	66.483	0.916	 [no no no]
25	TO034	67.028	68.050	1.022	 cioè sì no no no no
26	TO033	68.206	69.187	0.981	 e:::hm
27	TO033	69.722	77.330	7.608	 e che pero' forse a quel punto per avere un dottorato di questo tipo di quel tipo (che non so) che tipo sia,
28	TO033	78.039	79.028	0.989	 e:::hm
29	TO033	80.175	83.392	3.217	 forse::: non andava tanto bene fare una ricerca:::
30	TO033	83.892	86.499	2.607	 comparata tra sudafrica e marocco,
31	TO033	86.893	90.793	3.900	 e quindi forse vale la pena che che lei torni in sudafrica,
32	TO033	91.373	93.966	2.593	 senza senza fare tanta ricerca in marocco,
33	TO033	94.563	101.922	7.359	 e::: e che boh marina doveva mandare la richiesta per mail l' altro ieri e::h
34	TO033	102.755	108.144	5.389	 per 'sta roba poi ovviamente lucilla è stata male oh no non c' era nessuno oddio io sono andata da lei
35	TO033	110.621	115.711	5.090	 cioè io sinceramente l' altro ieri ero incazzata nera per per 'sta riunione perché::
36	TO034	115.711	117.188	1.477	 tu [capisci (ma cosa ho fatto)] oggi
37	TO033	115.910	116.743	0.833	 [ma no ma poi io]
38	TO033	117.412	125.079	7.667	 no poi io volevo alzare la mano e dire ma scusi quindi se noi facciamo la ricerca comparata per un dottorato va bene no perché così volevo sapere
39	TO034	127.307	133.473	6.166	 ma poi ma tu hai trovato la più scema del master ma come fai a non renderti conto che una [persona]
40	TO029	132.658	134.269	1.611	 [vabbè] almeno quello ma poi,
41	TO029	136.267	143.566	7.299	 da::i ma io scusate non ci cre::do neanche che la rossi dice a xx senti dai un dottorato alla prima che passa
42	TO034	143.566	144.705	1.139	 no ma [infatti]
43	TO029	144.248	145.316	1.068	 [e questa] cosa succede?
44	TO033	146.564	147.143	0.579	 no ma
45	TO033	147.842	148.656	0.814	 no ma infat[ti,]
46	TO029	148.478	150.395	1.917	 [dopo gua]rdi il programma della summer sch[ool fa] paura,
47	TO033	149.440	149.871	0.431	 [lunedì]
48	TO033	150.701	152.253	1.552	 lunedì che facevamo il giro
49	TO033	152.728	153.628	0.900	 di::=mh
50	TO033	154.207	159.899	5.692	 di un progetto di te::si:: relatore italiano e quale potrebbe essere relatore marocchino,
51	TO033	160.521	161.156	0.635	 m::h
52	TO033	165.137	169.313	4.176	 xxx marina {P} , e::hm che ovviamente appunto [ha detto::]
