tu_id	speaker	start	end	duration	text
0	TO002	1.456	3.031	1.575	 okay {P} mi piacerebbe::
1	TO002	3.081	4.506	1.425	 non mi ricordo mica come è il suo nome:
2	TO003	4.506	5.412	0.906	 è mario ro[ssi]
3	TO002	5.227	5.910	0.683	 [mar]io.
4	TO002	7.117	9.438	2.321	 mario noi ci siamo conosciuti a lu:n[go:]
5	TO003	9.242	10.894	1.652	 [eh] s~ {ride}
6	TO002	11.377	14.418	3.041	 è stata una esperienza: {P} non so quanto drammatica per le:i:
7	TO002	15.351	17.034	1.683	 e:::h=m:::h
8	TO002	17.425	19.535	2.110	 appunto volevo sapere anche da lei questo:::
9	TO002	19.875	23.436	3.561	 la sua opinione su questo libro come ho chiesto a tutti: prima di comincia:re,
10	TO003	23.460	23.748	0.288	 sì
11	TO002	24.070	25.110	1.040	 e::hm
12	TO002	25.548	28.408	2.860	 non è una curiosità ma semplicemente proprio per capire:::
13	TO002	29.030	31.175	2.145	 come migliorare il servizio per=e::h.
14	TO002	32.796	35.663	2.867	 i suoi:: {P} i suoi colleghi l' anno prossimo. in[somma]
15	TO003	35.345	36.264	0.919	 [sì sì,] ce(rto).
16	TO003	36.550	40.262	3.712	 ma allora io di questo libro ho trovato:: {P} tanti aspetti positivi,
17	TO003	40.360	42.211	1.851	 <quanti negativ>i si puo' dire.
18	TO003	42.695	45.637	2.942	 e:h beh. partendo dagli aspetti positivi secondo me,
19	TO003	45.735	48.460	2.725	 è un libro:: {P} che: e::h=m:::h
20	TO003	48.720	52.570	3.850	 integra molte cose con le schede:=e::h {P} di dati che quindi,
21	TO003	53.046	57.155	4.109	 è una cosa: {P} molto: e:h {P} positiva, perché nel caso in cui si volesse approfondire
22	TO003	57.467	61.278	3.811	 loro ci offrono la possibilità anche attraverso la sitografia o la bibliografia
23	TO003	61.516	63.511	1.995	 di andare più a fondo nella {P} nella ricerca
24	TO003	63.564	64.527	0.963	 quella: [{P} co]sì.
25	TO002	63.848	64.340	0.492	 [°certo°]
26	TO003	65.050	66.761	1.711	 poi soprattutto: {P} secondo me,
27	TO003	67.285	70.672	3.387	 vabbè questo {P} riguarda sia il libro ma anche:: la materia in generale.
28	TO003	71.066	75.566	4.500	 cioè io: {P} ho scoperto {P} moltissime cose leggendo questo libro che {P} mi hanno veramente:
29	TO003	75.833	78.538	2.705	 aperto {P} m:h=un mondo nuovo.
30	TO003	78.933	85.916	6.983	 perché ad esempio sapere che {P} m:h {P} ci sia ancora: {P} parte della popolazione mondiale: {P} che soffra per la schiavitù,
31	TO002	86.330	86.727	0.397	 eh
32	TO003	86.745	89.767	3.022	 e::h=che ci sia appunto ancora la schiavitù del mondo dopo
33	TO003	90.691	97.453	6.762	 cinquecento anni che:=m:h=addirittura venivano trasportati {P} i neri dall' africa: all' americhe:,
34	TO003	97.823	104.363	6.540	 fa molto pensare perché noi {P} lo vediamo: {P} mo:lto secondo me come un processo storico ormai morto e sepolto nel senso,
35	TO003	104.845	113.995	9.150	 quello è avvenuto nel millecinquecento {P} ci sono state ancora:=m:h=ovviamente {P} ehm::=delle ondate nel milleseicento >millesettecento avanti< pero',
36	TO003	114.530	120.423	5.893	 cioè per quanto mi riguarda io lo davo come un fenomeno morto e sepolto:=lì. {P} finità lì {P} [<e inve:ce:>]
37	TO002	119.880	125.399	5.519	 [a un certo punto dipende] {P} da cosa si intende pe:r {P} per schiavitù esattamente {P} [insomma] ecco {P} [°non x:°]
38	TO003	124.066	124.451	0.385	 [sì.]
39	TO003	124.801	125.398	0.597	 [beh certo.]
40	TO003	126.404	136.841	10.437	 (prendo) ad esempio il libro che fa l' esempio del bonded labor {P} che=m:h=nient' altro che praticamente >quello che già avveniva tempo fa cioè< {P} (e) una famiglia si indebita con uno strozzino,
41	TO003	137.310	144.631	7.321	 questo strozzino porta:=a: {P} al massimo i livelli di tasso d' interesse su:l=m:h {P} su:l=m:h l' indebitamento,
42	TO003	145.055	160.495	15.440	 e quindi praticamente l' unica soluzione che la famiglia ha per sdebitarsi {P} è di {P} e:h=schiavizzarsi. {P} di: {P} di rendersi schiava:. {P} [per] sopperire a questa:=e:h {P} a questa impossiblità di venire incontro al debito: che: è stato:
43	TO002	153.321	153.696	0.375	 [sì.]
44	TO002	160.495	163.466	2.971	 lo schiavizzarsi vorrebbe dire in questo caso di::
45	TO002	164.261	165.538	1.277	 fare cosa °in real[tà°?]
46	TO003	165.380	168.914	3.534	 [di] mettersi al servizio di questa perso:na, ad esempio:
47	TO003	169.095	169.941	0.846	 e::::h
48	TO003	170.092	177.531	7.439	 beh schiavizzarsi nel senso di {P} sia mettersi al servizio della persona ma {P} più propriamente: {P} finire ad esempio a {P} e::h
49	TO003	177.980	182.672	4.692	 costruire::=mh ad esempio {P} fa l' esempio di una bambina che:
50	TO003	182.993	185.674	2.681	 costruisce dei mattoni utilizzando della terra::
51	TO003	185.861	187.724	1.863	 della terra dell' argilla. [per dire].
52	TO002	187.150	188.330	1.180	 [ma è appun]to invece
53	TO002	188.951	191.693	2.742	 >visto che con< la sua collega: {P} si parlava di immigrazione
54	TO002	192.676	196.127	3.451	 questa forma di indebitame:nto: e:::h
55	TO002	197.301	201.361	4.060	 uh {P} puo' puo' essere una de:lle: {P} delle tante cause dell' immigrazione:.
56	TO003	201.782	203.397	1.615	 sì certo assolutame:nte.
57	TO003	203.477	204.781	1.304	 e:::h=[mh]
58	TO002	204.381	210.489	6.108	 [che] un modo {P} puo' questa (l')immigrazione puo' essere considerata che cosa da questo punto di vista {P} [una:,]
59	TO003	209.866	221.346	11.480	 [beh da questo pun]to di vista:=m:h=c' è un aspetto molto importante cioè quello che {P} un tempo l' immigrazione {P} avveniva soprattutto dai paesi cosiddetti del sud del mondo al nord del mondo.
60	TO003	221.752	231.401	9.649	 invece adesso: {P} eh spesso e volentieri {P} capita che: e:h {P} i profughi {P} eh=siano anche profughi (di) cosiddetti interni. cioè all' interno dello stesso stato di appartenenza.
61	TO003	231.806	240.241	8.435	 che magari sfuggono da: una zona:, in cui appunto c' è questa pratica della: {P} dello sfruttamento minari:le, dello: dello schiavismo:,
62	TO003	240.540	242.112	1.572	 [del bonded labor=e:h]
63	TO002	240.548	243.847	3.299	 [sì ma allora a cosa a cosa] a cosa serve i::l=a co:sa:
64	TO002	244.175	250.256	6.081	 in che modo l' indebitamento: {P} m::h {P} apre la strada per l' imm~ (.)e:::::h all' immigrazione.
65	TO002	250.350	251.015	0.665	 [per]ché
66	TO003	250.381	250.779	0.398	 [beh]
67	TO002	251.221	251.619	0.398	 perché?
68	TO003	252.281	254.658	2.377	 perché: [ad esempio se noi andiamo:]
69	TO002	252.927	254.658	1.731	 [per sfuggire allo strozzino?]
70	TO003	255.101	259.620	4.519	 non solo perché se ad esempio se no:i: consideriamo la teoria di everett lee,
71	TO003	259.870	269.060	9.190	 che ha elaborato: {P} mettendo insieme una serie di fattori che: {P} e:h=portano il profugo a lasciare il proprio territorio di=e:h di origine eh,
72	TO003	269.380	279.233	9.853	 eh possiamo dire che: {P} influiscano anche non solo le {P} le aspettative: di un miglioramento. cioè ad esempio {P} sfuggire da uno strozzino: o dal lavoro: forzato o:::,
73	TO003	279.521	282.026	2.505	 o qualsiasi altro lavoro: illegale.
74	TO003	282.219	285.734	3.515	 ma ad esempio anche: le aspettative personali perché no,
75	TO002	285.990	286.171	0.181	 m:h.
76	TO003	286.243	293.878	7.635	 il fatto di poter dire: {P} che: {P} mh=nel caso in cui si voglia mettere su famiglia, in un altro stato si è più sicuri si è più protetti dallo stato,
77	TO003	294.191	295.322	1.131	 da questo punto di vista.
78	TO002	295.323	297.606	2.283	 ah {P} eh {P} eh sì. ha finito
79	TO003	298.045	299.103	1.058	 ah no sì prego dica.
80	TO002	299.288	304.279	4.991	 no. >no no< m::h {P} pero'=m::h non ha ancora proprio risposto alla domanda che le sto facendo. cioè
81	TO002	304.618	307.865	3.247	 o meglio non è la risposta che m' aspetta[vo io. (forse è questa cosa)]
82	TO003	306.300	308.211	1.911	 [ah okay.] {ride}
83	TO002	308.261	309.761	1.500	 no ma comunque ci si arriva.
84	TO002	309.966	312.385	2.419	 nel senso con ragionamenti progressivi.
85	TO003	312.483	312.824	0.341	 sì.
86	TO002	312.963	320.550	7.587	 e:h perché in fin de conto la situazione che m' ha descritto lei è quello della fuga da. {P} qualcuno che {P} ti=e::h,
87	TO003	320.706	323.708	3.002	 ah sì ah no=no ho [capito=ho capito sì sì.]
88	TO002	321.811	326.412	4.601	 [allora in che modo l' emmi~ l' immi~] {P} l' emigrazione puo' servire,
89	TO002	326.973	331.733	4.760	 come risposta all' end~ all' endibitamento {P} [dal punto di vista di chi,]
90	TO003	330.284	331.725	1.441	 [ah ho capito.]
91	TO003	332.615	334.220	1.605	 beh ad [esempio::,]
92	TO002	332.851	334.183	1.332	 [o della famiglia.]
93	TO003	335.235	336.921	1.686	 sì ad esempi[o:: l',]
94	TO002	335.935	336.853	0.918	 [indebitata.]
95	TO003	337.115	341.321	4.206	 s~ m:h {P} se parliamo di: migrazione per fuggire da,
96	TO003	341.565	350.071	8.506	 potremmo anche dire che la fuga di cervelli è sempre una fuga: da, pero' non >per quanto riguarda< la famiglia, {P} ma, {P} per l' individuo in sè.
97	TO003	350.360	356.670	6.310	 cioè non si sfugge da una=m:h a::h appunto da uno sfruttamento o altre cose del genere ma si va:,
98	TO003	357.061	360.802	3.741	 m:h cioè l' aspettativa non è di lasciare un paese:
99	TO003	361.136	366.516	5.380	 e::h=perché: questo paese non offre possiblità di miglioramento {P} personale.
100	TO003	366.711	369.942	3.231	 ma di e:h proprio di andare in un altro stato,
101	TO003	370.253	374.385	4.132	 dove invece si=eh [si pe]nsa che ciò possa avvenire {P} secondo [me.]
102	TO002	371.856	372.200	0.344	 [mh]
103	TO002	374.018	378.280	4.262	 [no.] ma ragioni sul {P} quello la voglio portare alla mia: al rispondere a quello che {ride}
104	TO003	378.351	379.928	1.577	 {ride}
105	TO002	379.770	381.610	1.840	 ragioni sull' indebitamento.
106	TO003	381.765	383.757	1.992	 ah okay sull' indebitame[nto::]
107	TO002	383.103	384.857	1.754	 [sull' indebitame]nto vuol dire che
108	TO002	385.200	396.248	11.048	 se io m' indebito per ics ragioni. [come il co]ntadino per avere le sementi per coltivare il grano [o per compra]rmi una macchina agricola che mi permette di xxrare meno fatica o di implemenetare la mia produzione,
109	TO003	387.080	387.656	0.576	 [sì.]
110	TO003	390.042	390.940	0.898	 [ah ah.]
111	TO002	397.010	399.876	2.866	 e:h=eccetera. io mi indebito. come posso,
112	TO002	400.585	402.690	2.105	 e::::::::::h
113	TO002	403.621	408.181	4.560	 mh a~ arrivare a creare le condizioni per rimborsare questo debito.
114	TO002	408.441	421.814	13.373	 uno è quello del=e::h bonded labour [{P} di cui] diceva lei è {P} il fatto che io resto sullo stesso posto e presto la mia manodopera {P} gratuitamente finché questo debito [non è] rimborsato.
115	TO003	412.214	412.925	0.711	 [mh mh.]
116	TO003	420.514	421.157	0.643	 [mh.]
117	TO003	422.913	423.127	0.214	 [sì.]
118	TO002	422.914	426.395	3.481	 [o] secondo delle convenzioni che possono essere più o meno:
119	TO002	426.628	430.400	3.772	 un' altra parte, un altro modo è essere {P} quello dell' immigrazione.
120	TO002	430.895	432.090	1.195	 ma non per fuggire.
121	TO003	433.191	434.833	1.642	 ah ne senso [di::]
122	TO002	433.871	437.033	3.162	 [che cosa] ci faccio fare: {P} cosa mi serve l' immigrazione.
123	TO003	437.415	447.300	9.885	 nel senso di spostarsi un' altra città per trovare lavoro e pagare il debito::m:h=che si è contratti {P} che si è contratto nei confronti di uno strozzino ad esempio.
124	TO003	448.083	449.442	1.359	 sì m::h
125	TO003	449.921	450.705	0.784	 [per esempio,]
126	TO002	449.923	453.859	3.936	 [allora:] a:h=le cosi~ le cosidette rimesse,
127	TO003	454.096	455.596	1.500	 ah sì giusto [sì=sì=sì.]
128	TO002	455.285	456.825	1.540	 [le coside]tte rimesse,
129	TO002	458.225	463.708	5.483	 hanno diverse funzioni. certo non ce n' hanno solo una eh a seconda eh ma possono essere usate,
130	TO003	464.211	464.886	0.675	 [°sì xxx°]
131	TO002	464.213	468.455	4.242	 [una fami]glia di cinque persone puo' decidere di inviare {P} i più giovani,
132	TO002	469.155	471.066	1.911	 a: a:::
133	TO002	472.846	483.033	10.187	 in un {P} all' estero diciamo do~ dove {P} dove ci sono maggiori opportunità di lavoro, dove si puo' soprattutto procacciarsi {P} magari anche una: {P} una moneta che ha un alto valore di scambio,
134	TO002	484.126	485.022	0.896	 rispetto a quella locale,
135	TO003	485.065	485.515	0.450	 sì.
136	TO002	485.515	486.133	0.618	 e con cui,
137	TO003	486.800	487.833	1.033	 [sì sì è vero.]
138	TO002	486.800	490.044	3.244	 [posso:=m:h] soddisfare o posso
139	TO002	490.805	491.866	1.061	 e:h=m:h
140	TO002	492.735	498.444	5.709	 rimborsare il debito {P} che altrimenti mi terrebbe diciamo assoggettato a a:l,
141	TO002	499.421	500.221	0.800	 alla persona.
142	TO003	500.300	502.086	1.786	 sì infatti[=e:h]
143	TO002	501.200	506.577	5.377	 [allo strozzino.] quello che abbiamo deciso di chiamare strozzino xx [che potrebbe non esserlo {P} ecco.] {ride}
144	TO003	504.146	509.288	5.142	 [sì=sì ma io: sono andato subito su:l] {P} sul tragico e così.
145	TO003	509.385	512.885	3.500	 mh=pero' c' è anche questa realtà comunque che va considerata perché:
146	TO003	513.357	520.659	7.302	 e comunque a questo proposito sì mi viene in mente che: e:h nel caso delle rimesse infatti si parla propriamente di transnazionalismo,
147	TO003	520.962	534.177	13.215	 cioè dei lega:mi, che si creano tra lo stato di origine del profugo e: lo stato in cui il profugo si trasferisce per chiedere: {P} per trovare lavoro, m:h chiedere l' asilo politico:, {P} [o: per mille altri motivi.]
148	TO002	532.231	546.777	14.546	 [eh quando si parla di legami int]er-transnazionale si parla sì di legami tra=tra=tra stati {P} situati molto lontani li uno rispetto all' altro ma anche di legam~ {P} si parla di legami transnazionali anche tra le famiglie o di famiglie transnazionali.
149	TO003	546.777	547.133	0.356	 sì.
150	TO002	547.915	549.033	1.118	 all' in~ {P} tra le~
151	TO002	550.373	554.986	4.613	 tra le quali diciamo {P} la relazione è sostanziata dal e::h,
152	TO002	555.455	556.666	1.211	 dallo scambio,
153	TO002	557.593	561.875	4.282	 di beni molto materiali tra cui quelli economici appunto le rimesse.
154	TO002	562.330	564.555	2.225	 ed è quello che mantiene il legame.
155	TO002	564.950	567.936	2.986	 è quello che mantiene {P} eh=la logica,
156	TO002	568.208	569.700	1.492	 dell' immigrazione attiva.
157	TO002	570.185	572.290	2.105	 anche in delle condizioni,
158	TO002	574.270	576.936	2.666	 che ai nostri l' immigrato qui o:ra,
159	TO002	577.613	584.406	6.793	 a:::h=vive. delle condizioni cioè di:: estrema povertà rispetto ai nostri standard.
160	TO002	585.475	588.470	2.995	 pero' è un modo lo stesso di procacciarsi quei sol[di,]
161	TO003	588.326	588.477	0.151	 [sì.]
162	TO002	589.148	592.465	3.317	 quelle diciamo {P} quella lì che permette poi alla famiglia,
163	TO002	594.581	595.566	0.985	 che è rimasta,
164	TO002	596.968	600.773	3.805	 di:=[mh=una certa mobil~] di mantenere una certa mobilità sociale
165	TO003	597.613	599.051	1.438	 [sì di pote:r,]
