tu_id	speaker	start	end	duration	text
0	BO118	0.960	2.780	1.820	 dovresti parlarmi della tua casa.
1	BO118	2.810	3.400	0.590	 attuale.
2	BO140	4.900	5.940	1.040	 mh sì
3	BO118	5.950	8.610	2.660	 com'è fatta:: la tua casa:, con chi vivi,
4	BO140	9.190	13.920	4.730	 allora la mia ca:sa:: è::: una: villa::
5	BO140	14.540	16.620	2.080	 mh: in mezzo alla natura,
6	BO140	17.000	20.760	3.760	 ci viviamo: in: un po' di famiglie, che sono::,
7	BO140	21.332	22.630	1.298	 eh:: la mia famiglia,
8	BO118	22.716	23.280	0.564	 mh[mh]
9	BO140	23.110	23.930	0.820	 [mi]a nonna,
10	BO140	24.725	30.510	5.785	 mh i miei cugini quindi due famiglie: e la nonna dei miei cugini quindi ci sono cinque famiglie
11	BO118	30.540	32.700	2.160	 <okay> quindi è fatta su diversi piani?
12	BO140	32.735	34.930	2.195	 sì: ci sono:: tre piani,
13	BO118	34.977	35.640	0.663	 mh[mh]
14	BO140	35.477	41.260	5.783	 [e l'ul]timo piano: è: una soffitta che:: in realtà:: è abitata: da uno dei miei zii
15	BO118	41.673	42.354	0.681	 <oka:y>
16	BO140	42.508	49.350	6.842	 è fatta in matto:ni: è:: è una casa costruita: intorno agli anni: cinquanta credo
17	BO118	49.760	50.420	0.660	 okay
18	BO118	50.735	53.755	3.020	 e si trova in centro: alla città: o fuori?
19	BO140	53.770	57.490	3.720	 no si trova fuori dalla città: ma:: è vicina in realtà
20	BO140	57.735	62.860	5.125	 io abito a {nomepaese} e:: a piedi: una decina di: minuti ci metto
21	BO118	63.560	64.110	0.550	 [°okay°]
22	BO140	63.597	67.910	4.313	 [e:]:: è bella: secondo me perché è immersa nel verde
23	BO140	68.673	73.030	4.357	 fino a:: mh trent'anni fa: io non lo so ma ho visto dalle foto,
24	BO140	73.436	84.270	10.834	 c'e:ra: era so~ c'era solo casa mia: e:: immersa proprio nel verde po:i: dopo hanno costruito delle villette sopra casa mia: e quindi: si è persa la percezione della strada::
25	BO140	84.660	89.350	4.690	 eh: nazionale:: che collega {nomepaese} con altre: altri paesi
26	BO118	89.358	90.170	0.812	 okay.
27	BO118	90.413	94.550	4.137	 e:: tipo fuori da casa tua che c'è tipo avete il giardino::,
28	BO140	94.630	98.650	4.020	 abbia:mo: sì (me:) un prato: c'è un grande prato,
29	BO140	99.277	100.750	1.473	 e in realtà ce ne son due:,
30	BO140	101.147	105.090	3.943	 e::: sono divisi dalla strada che: che porta a casa mia,
31	BO140	105.843	115.320	9.477	 e: sotto casa abbiamo un: un orto molto grande:: che è gestito da u:na parte da mia nonna e dai miei genito:ri un'altra parte da: un'altra famiglia,
32	BO140	115.761	119.070	3.309	 e:::: intorno comunque c'è campagna.
33	BO118	119.183	119.803	0.620	 oka[y]
34	BO140	119.576	126.040	6.464	 [qui]ndi: e::hm per questo è immer~ cioè è immersa nella natura poi si vedono i monti gli appennini:: è:
35	BO140	126.833	128.199	1.366	 è: bello.
36	BO118	128.520	132.940	4.420	 e:::hm coi vicini avete un buon rapporto? li conoscete bene?
37	BO140	133.008	148.170	15.162	 si. cioè diciamo che io ho sempre vissuto:: fin da piccola con lo:ro perché fan parte della mia famiglia:: non sono paren~ cioè non: è una parentela di primo grado ma comunque di secron~ di secondo grado quindi i fi:gli:,
38	BO140	148.340	155.500	7.160	 hanno la mia stessa età o:: mh siamo comunque: coetanei: abbiamo sempre giocato insieme fin da piccoli
39	BO140	155.920	160.110	4.190	 anche se non c'è: u:::n rapporto proprio:,
40	BO140	160.535	164.897	4.362	 mh stre:tto di parentela ma:: più di: convenevoli: e::,
41	BO118	164.900	166.700	1.800	 okay però comunque: è::,
42	BO118	166.990	169.100	2.110	 cioè un'atmosfera familiare [xxxx]
43	BO140	168.480	169.830	1.350	 [sì sì sì sì ce:]rto
44	BO140	170.135	180.700	10.565	 cioè non stia~ cioè non festeggiamo: feste insieme:, non stiamo mo:lto insieme in generale però se ci incontriamo: fuori da casa: ci salutia:mo ci chiediamo come stiamo: e:,
45	BO140	181.520	184.530	3.010	 sì alla fine è un rapporto:=m:h amichevole.
46	BO118	184.610	185.080	0.470	 <ok[ay]>
47	BO140	184.826	189.190	4.364	 [si]curamente no:n non portiamo: rancore o,
48	BO118	190.840	194.000	3.160	 oka::y e qual è la tua stanza preferita nella tua casa?
49	BO140	195.163	200.440	5.277	 la mia stanza preferi:ta:=a::h in realtà:: una volta era il bagno.
50	BO140	200.606	205.170	4.564	 ma perché: è la parte più piccola della casa: e: si riscalda prima e:,
51	BO140	205.993	208.520	2.527	 quindi anche in inverno: ho sempre pensato,
52	BO140	208.971	212.030	3.059	 fosse u:n un luogo più chiuso di a:ltri,
53	BO140	212.670	218.390	5.720	 in genera:le in questo momento è la sala: perché:: c'è il cami:no: e:: mh
54	BO140	219.356	223.690	4.334	 mh: vabbè [ci stiamo] insie:me: esatto: c'è il divano comodo,
55	BO118	219.850	221.440	1.590	 [state insie:me:]
56	BO140	224.028	228.238	4.210	 e:: però in realtà non ci sto quasi ma:i perché son sempre qua a bologna: e:,
57	BO140	229.430	232.620	3.190	 non ho in realtà un~ una stanza pre[ferita:],
58	BO118	232.200	233.660	1.460	 °[nemmeno io] mi sa che ce l'ho.°
59	BO118	234.490	238.470	3.980	 anche perché casa mia tipo è mo:lto cioè dà mo:lto un senso di freddo,
60	BO118	239.020	244.760	5.740	 perché l'hanno rifatta da poco quindi è molto mode:rna invece prima era tutta fatta di legno e c'era il camino e adesso non c'è più,
61	BO118	245.575	247.680	2.105	 e prima la mia stanza preferita penso fosse la cucina.
62	BO118	248.015	251.310	3.295	 perché era grande:: e: c'era il tavolo c'era pure un divanetto,
63	BO140	252.690	253.010	0.320	 sì
64	BO118	253.090	253.810	0.720	 però adesso non ce l'ho
65	BO118	255.745	256.700	0.955	 <oka:y>
66	BO118	258.505	266.050	7.545	 e::hm quindi stai vicina al ce:ntro:: e: vai spesso in centro: o:: o resti più nella zona dove: dove abiti?
67	BO140	266.310	267.310	1.000	 sì: vabbè certo.
68	BO140	267.470	271.130	3.660	 anche perché: abito: diciamo: in una periferia (cioè) {nomepaese} è piccola.
69	BO140	271.485	283.030	11.545	 quindi appena ti sposti un po' dal centro: a meno che non sia proprio la zona residenziale:, nuo:va, eh:: entri molto nella campagna e:: dove abito io appunto è: un aggregato di:,
70	BO140	283.450	286.840	3.390	 cento ca:se:: con la chiesetta così insomma:,
71	BO140	287.175	290.475	3.300	 non si fa niente in quella zona quindi [per] forza vai [in centro].
72	BO118	288.702	289.302	0.600	 [okay]
73	BO118	289.727	292.550	2.823	 [per for~ quindi per fo]rza devi prendere la macchina per anda' in centro?
74	BO140	292.645	296.310	3.665	 sì generalmente sì perché comunque sia: non:: mh::,
75	BO140	297.027	308.710	11.683	 non ci sono piste ciclabili: o: cioè non c'è possibilità di prender la bici o::: cioè andare a piedi si ma durante il giorno è possibile perché poi di sera comunque:: son delle strade: abbastanza buie:,
76	BO140	309.190	310.640	1.450	 è: brutto tornare a piedi.
77	BO140	311.545	313.660	2.115	 e:: quindi sì prendo sempre la macchina.
78	BO140	314.345	317.830	3.485	 mh è comoda:: e:: ti sposti facilmente.
79	BO140	318.322	322.582	4.260	 invece in altri mezzi sarebbe impossibile anche con l'autobus così:::,
80	BO118	322.603	323.913	1.310	 eh ce li avete gli auto[bus]?
81	BO140	323.625	332.230	8.605	 [sì:]: ce ne sono pochi:: e passano tipo ogni quaranti minuti, ogni mezz'o:ra così quindi in realtà è un po' scomodo spostarsi in autobus.
82	BO140	332.550	337.980	5.430	 cioè l'ho fatto tante vo:lte anche quand'ero più piccola: però: cioè generalmente preferisco la macchina.
83	BO140	338.080	346.490	8.410	 anche perché cioè mi ricordo c'era un periodo in cui i miei: tipo ehm vabbè lavoravano sempre dalla mattina alla sera: e: io la macchina a casa non ce l'avevo non uscivo quasi mai
84	BO140	347.150	351.067	3.917	 quindi: sì sono molto legata alla macchina e agli spostamenti in [macchina] {ride}
85	BO118	350.420	351.070	0.650	 [si: anch'io]
86	BO118	351.930	358.360	6.430	 infatti anch'io sto un po' fuori dal centro:, cioè io abito in questa frazione: e anche solo per arrivare nel paese vero e proprio,
87	BO118	358.980	361.740	2.760	 se dovessi anda' a piedi ci metterei tipo: mezz'ora,
88	BO140	362.280	362.773	0.493	 sì sì
89	BO118	362.775	367.180	4.405	 e: quindi prendo sempre la macchina infatti non vedevo l'ora di prender la patente quando c'avevo diciotto [anni].
90	BO140	367.080	376.380	9.300	 [no] io in realtà ho sempre:: usato il motorino quando ero: cioè dai quattordici anni in poi: son sempre stata legata molto al motorino ma perché: mi piace essere: indipendente.
91	BO118	376.450	376.960	0.510	 mhmh
92	BO140	376.970	379.270	2.300	 quindi::: mh::
93	BO140	379.900	385.010	5.110	 cioè preferisco: spostarmi per i cavoli miei senza:: stare [(sempre agli) altri].
94	BO118	384.070	387.270	3.200	 [io ho preso] il patentino e non ho mai preso il motorino perché avevo pau[ra]
95	BO140	387.100	388.520	1.420	 [ah] ecco vedi? {ride}
96	BO140	388.750	390.360	1.610	 no io lo prendevo anche quando nevicava
97	BO118	390.365	391.030	0.665	 ma:do' {ride}
98	BO118	391.902	395.900	3.998	 che po:i {nomepaese} è fatta tut~ cioè tutta in sali:t[a:: son] scomode le strade
99	BO140	394.180	394.840	0.660	 [sì eh]
100	BO140	396.170	400.890	4.720	 sì eh cioè diciamo che il centro è tutto:: salita e discesa.
101	BO140	401.215	408.620	7.405	 però: fuori:: tutta la periferia così:: cioè sono delle pendenze norma:li diciamo.
102	BO118	408.625	408.865	0.240	 okay
103	BO140	408.870	411.880	3.010	 cioè da fare in bi:ci è diver~ cioè: è più difficile.
104	BO140	412.450	416.900	4.450	 però: in motorino:, in macchina, o a piedi si fan tranquillamente ecco: cioè
105	BO140	417.440	419.290	1.850	 in bici devi essere uno sportivo.
106	BO118	420.035	421.595	1.560	 e invece ade:sso stai a bologna:,
107	BO140	421.900	422.380	0.480	 sì.
108	BO118	422.800	426.290	3.490	 e:: quante case hai cambiato fino: adesso da quando [stai]
109	BO140	425.890	426.300	0.410	 [du:e],
110	BO118	426.560	427.790	1.230	 du:e:, oka:y
111	BO118	428.260	429.970	1.710	 la prima casa era? in via,
112	BO140	430.080	432.040	1.960	 e: la prima casa era in via nomeluogo,
113	BO118	432.060	432.750	0.690	 okay
114	BO140	432.840	435.530	2.690	 e: proprio in centro: nella zona universitaria,
115	BO140	436.265	438.980	2.715	 e:: ci ho vissuto quattro anni: in doppia,
