tu_id	speaker	start	end	duration	text
0	TOR001	0.150	1.500	1.350	 eh fino a quando non carica,
1	TOR002	2.363	2.979	0.616	 vai vai
2	TOR001	3.812	4.323	0.511	 ci siamo?
3	TOR001	4.860	5.318	0.458	 okay.
4	TOI075	5.832	8.861	3.029	 xx lei si sieda se non altro
5	TOR002	8.877	9.195	0.318	 va bene
6	TOI075	9.199	12.566	3.367	 perché a vederlo lì [in piedi {P} dà] fastidio. {ride}
7	TOR001	10.288	11.941	1.653	 [sì in effetti è un po':::]
8	TOR002	10.703	11.686	0.983	 [va bene allora]
9	TOR002	12.566	13.438	0.872	 allora mi siedo qua
10	TOI075	13.541	14.010	0.469	 {ride}
11	TOR001	13.541	14.010	0.469	 {ride}
12	TOR001	14.441	14.988	0.547	 okay,
13	TOR001	15.341	16.861	1.520	 lei ha sempre vissuto a torino?
14	TOI075	17.114	22.160	5.046	 s::ì praticamente sempre solo {P} quando andavo in ferie ma:
15	TOR001	22.160	22.609	0.449	 okay
16	TOR001	23.100	23.978	0.878	 in vacanza quindi,
17	TOI075	24.155	24.349	0.194	 eh.
18	TOR001	24.432	24.830	0.398	 {ride}
19	TOR001	25.358	27.214	1.856	 e in che quartiere:: ha vissuto?
20	TOI075	27.480	33.423	5.943	 e::hm praticamente {P} sarebbe quartiere che adesso si chiama aurora
21	TOR002	33.549	33.891	0.342	 m::h
22	TOR001	33.900	34.088	0.188	 okay
23	TOI075	34.113	35.406	1.293	 più o meno di lì:
24	TOI075	35.813	39.679	3.866	 dalle parti {ride} dove ci sono gli spacciatori
25	TOI075	39.972	45.531	5.559	 in corso nomeluogo {P} non so ne~ se ne ha sentito pa[rla]re:
26	TOR001	44.983	45.380	0.397	 [sì]
27	TOI075	45.846	46.890	1.044	 comunque:
28	TOI075	47.239	51.118	3.879	 quando sono nato io era un quartiere normale
29	TOI075	51.162	53.681	2.519	 non era non c'era la malavita
30	TOR001	53.916	54.076	0.160	 okay
31	TOI075	54.171	54.380	0.209	 (>diciamo<)
32	TOR001	54.731	55.062	0.331	 {ride}
33	TOR001	55.556	56.722	1.166	 e ha sempre vissuto lì:?
34	TOI075	56.868	59.624	2.756	 sì sono nato in via nomeluogo
35	TOR002	59.773	59.966	0.193	 mh
36	TOR001	59.984	60.259	0.275	 okay
37	TOI075	60.270	63.500	3.230	 che è una traversa di corso nomeluogo
38	TOR002	63.688	65.060	1.372	 [noi stavamo] in via nomeluogo
39	TOI075	63.691	64.348	0.657	 [sono stato]
40	TOI075	65.149	67.950	2.801	 battezzato a maria ausiliatrice
41	TOR001	68.059	68.341	0.282	 mhmh
42	TOI075	68.341	72.446	4.105	 sapete dov'è la chiesa [{P}] di maria ausiliatrice?
43	TOR001	70.379	70.611	0.232	 [sì],
44	TOI075	73.094	76.199	3.105	 mio padre anche lui era un torinese DOC
45	TOI075	76.675	80.736	4.061	 lui è stato battezzato alla chiesa dei santi MARTIRI
46	TOR001	80.780	81.209	0.429	 °okay°
47	TOI075	81.297	84.799	3.502	 era la chiesa principale {P} di via gari[baldi]
48	TOR001	84.261	84.774	0.513	 [mhmh]
49	TOR001	85.168	85.422	0.254	 mhmh
50	TOR001	86.900	90.022	3.122	 e com'era allora, {P} il quartiere in cui abitava?
51	TOI075	90.576	95.256	4.680	 mah quando sono nato non {ride} non ricordo [{P} esatta]mente.
