tu_id	speaker	start	end	duration	text
0	TO077	1.630	3.520	1.890	 buongiorno
1	TO077	8.189	13.280	5.091	 dunque e:h prima di: iniziare e::h
2	TO077	13.470	18.760	5.290	 devo darvi una comunicazione preferisco farlo con:: un certo anticipo
3	TO077	19.319	22.040	2.721	 che e:::h riguarda
4	TO077	22.673	29.497	6.824	 la:: l' ultima parte del corso quella eh monografica co:me si diceva un tempo
5	TO077	29.751	31.872	2.121	 cioè quella sul sessantotto
6	TO077	32.134	37.090	4.956	 alla quale e:h dedicherò: le ultime tre lezioni diciamo (°insomma°)
7	TO077	37.569	38.853	1.284	 e::hm
8	TO077	39.540	42.673	3.133	 se avete guardato la scheda del corso
9	TO077	43.342	45.456	2.114	 avrete visto che
10	TO077	46.170	49.607	3.437	 io vi ho indicato due testi
11	TO077	49.788	52.066	2.278	 e::h sull' argomento
12	TO077	52.219	57.447	5.228	 e:::h tra i quali ognuno puo' liberamente scegliere l' uno o l' altro
13	TO077	57.798	61.729	3.931	 e::h però la comunicazione riguarda
14	TO077	61.822	65.107	3.285	 e per questo preferisco farlo con un certo anticipo
15	TO077	65.474	70.107	4.633	 riguarda la <disponibilità> di questi::: volumi.
16	TO077	70.417	72.215	1.798	 perché allora
17	TO077	72.678	76.203	3.525	 e::h i due volumi sono il pri:mo
18	TO077	76.576	81.740	5.164	 autore diego giachetti che si intitola il sessantotto in italia
19	TO077	82.192	85.356	3.164	 sottotitolo le idee, i movimenti, la politica.
20	TO077	85.391	87.492	2.101	 questo è un volume
21	TO077	88.010	90.478	2.468	 che=è uscito da pochi mesi
22	TO077	91.294	93.440	2.146	 e quindi:: lo si trova
23	TO077	93.484	96.528	3.044	 in libreria:: facilmente spero.
24	TO077	96.645	99.285	2.640	 cioè insomma lo fanno arrivare
25	TO077	99.679	104.895	5.216	 e::h il secondo: testo invece=è più vecchio è del duemilaeotto
26	TO077	105.322	107.834	2.512	 si intitola il sessantotto
27	TO077	108.069	109.980	1.911	 una breve storia
28	TO077	110.174	111.750	1.576	 ed è di una:
29	TO077	111.995	117.350	5.355	 e::h docente dell' università di bologna, marica tolomelli
30	TO077	117.845	121.105	3.260	 allora, eh io mi rendo conto
31	TO077	121.747	127.507	5.760	 diciamo della: aleatorietà di questi discorsi fatti con un certo anticipo
32	TO077	128.044	130.298	2.254	 e::h io e:::h
33	TO077	130.419	136.762	6.343	 penso sia giusto darvi intanto un' informazione sulla differenza tra i due:: testi
34	TO077	137.302	141.448	4.146	 ma prima ancora precisare perché {P} mi metto
35	TO077	141.516	145.377	3.861	 e:h a fine novembre a fare questo discorso perché
36	TO077	145.702	150.898	5.196	 come ho detto prima il testo della tolomelli è un testo eh vecchio
37	TO077	151.754	155.493	3.739	 questo vuol dire che io: ho fatto qualche: sondaggio
38	TO077	155.521	160.318	4.797	 vuol dire che le librerie ne hanno un certo: numero non tantissime
39	TO077	160.735	165.615	4.880	 però qui si pone un piccolo problema e cioè che e::h
40	TO077	165.717	168.730	3.013	 la maggior parte delle case editrici o:rmai
41	TO077	169.294	170.376	1.082	 e::h
42	TO077	170.566	174.034	3.468	 non ristampa più i vecchi:: volumi
43	TO077	174.149	177.335	3.186	 a meno che uno non sia °insomma°
44	TO077	177.480	180.075	2.595	 e:h un autore di primissima fascia
45	TO077	180.101	183.727	3.626	 di quelli che garantiscono migliaia di copie di vendita
46	TO077	183.759	187.123	3.364	 ma non è il caso di questi poveri libri qui
47	TO077	187.589	193.089	5.500	 che quando: raggiungono le mille copie: di vendita brindano tutti {ride} diciamo
48	TO077	193.253	194.323	1.070	 e::h
49	TO077	194.376	198.338	3.962	 allora cosa vuol dire vuol dire però che le case editrici
50	TO077	198.398	201.639	3.241	 compresa la casa editrice carocci eh
51	TO077	202.619	208.082	5.463	 eh lavorano ormai con quella procedura che si chiama print on demand
52	TO077	208.175	211.840	3.665	 e cioè che in poche parole significa
53	TO077	212.096	216.018	3.922	 che ci cerca il libro vada (là) e dice io vorrei avere quel libro
54	TO077	216.079	219.705	3.626	 quella eh libreria contatta la casa editrice
55	TO077	219.739	224.638	4.899	 la casa editrice quando ha un numero anche molto piccolo di domande
56	TO077	224.976	228.324	3.348	 stampa delle copie del libro e lo fa pervenire.
57	TO077	229.138	233.537	4.399	 e:h io so e questa comunicazione che volevo darvi
58	TO077	233.881	238.455	4.574	 e:h che la libreria stampatori universitaria
59	TO077	238.512	241.645	3.133	 quella proprio qui di fronte a palazzo nuovo
60	TO077	241.884	245.668	3.784	 è in contatto con la casa editrice per questa
61	TO077	246.096	250.823	4.727	 procedura. non escludo che ce l' abbiamo anche altre case editrici eh
62	TO077	251.400	258.101	6.701	 non ho nessuna intenzione di fare l' agente commerciale della di una libreria però
63	TO077	258.209	261.457	3.248	 e:h di questo lo so che è attivato quindi
64	TO077	261.716	262.932	1.216	 poche parole
65	TO077	263.528	266.481	2.953	 soprattutto per chi volesse e::h
66	TO077	266.510	270.025	3.515	 pre:~ sostenere già l' esame negli appelli
67	TO077	270.067	274.295	4.228	 quelli del ventiquattro di gennaio e quelli del quattordici di febbraio
68	TO077	274.435	276.980	2.545	 ecco il mio consiglio {P} è
69	TO077	277.025	280.075	3.050	 per chi vuole dare l' esame in quei (due appelli)
70	TO077	280.107	283.999	3.892	 niente di obbligatorio (così) ma no~ di non svegliarsi
71	TO077	284.170	290.657	6.487	 a cercare chi volesse prendere il libro della tolomelli non svegliarsi dopo l' epifania
72	TO077	291.018	296.310	5.292	 perché e:h si rischia di rimanere perché coi tempi molto stretti
73	TO077	296.385	302.208	5.823	 perché quella procedura mi dicono che richiede una ventina di giorni di lavorazione.
74	TO077	302.816	308.449	5.633	 detto questo però poi chiudo subito l' inciso e passo alla lezione di oggi
75	TO077	309.480	315.905	6.425	 un' informazione di massima sulle differenze tra questi due testi che ho indicato
76	TO077	316.417	320.461	4.044	 in parte lo si potrebbe anche evincere dai titoli
77	TO077	321.056	323.309	2.253	 il libro di diego giachetti
78	TO077	323.626	328.252	4.626	 è un' analisi: del sessantotto: diciamo poi
79	TO077	328.562	332.569	4.007	 avevo già detto il sessantotto inteso non come anno specifico
80	TO077	332.607	335.714	3.107	 ma come arco temporale, eccetera, eccetera, eccetera
81	TO077	335.923	337.182	1.259	 in italia
