id,upos,form,context,Clitic,Definite,Degree,Gender,Mood,NumType,Number,Person,Poss,PronType,Tense,VerbForm
0:1,ADV,ecco,ecco ci qua,,,,,,,,,,,,
0:2,PRON,ci,ecco ci qua,Yes,,,,,,,,,Prs,,
0:3,ADV,qua,ecco ci qua,,,,,,,,,,,,
1:1,VERB,sarà,sarà difficilissimo raga perché,,,,,Ind,,Sing,3,,,Fut,Fin
1:2,ADJ,difficilissimo,sarà difficilissimo raga perché tipo,,,Abs,Masc,,,Sing,,,,,
1:3,NOUN,raga,sarà difficilissimo raga perché tipo in,,,,,Ind,,Sing,3,,,Pres,Fin
1:4,SCONJ,perché,sarà difficilissimo raga perché tipo in quattro,,,,,,,,,,,,
1:5,NOUN,tipo,difficilissimo raga perché tipo in quattro poi,,,,Masc,,,Sing,,,,,
1:6,ADP,in,raga perché tipo in quattro poi comunque,,,,,,,,,,,,
1:7,NUM,quattro,perché tipo in quattro poi comunque {ride},,,,,,Card,,,,,,
1:8,ADV,poi,tipo in quattro poi comunque {ride} ci,,,,,,,,,,,,
1:9,CCONJ,comunque,in quattro poi comunque {ride} ci si,,,,,,,,,,,,
1:10,X,{ride},quattro poi comunque {ride} ci si parla,,,,,,,,,,,,
1:11,PRON,ci,poi comunque {ride} ci si parla sopra,Yes,,,,,,Plur,1,,Prs,,
1:12,PRON,si,comunque {ride} ci si parla sopra {ride},Yes,,,,,,,3,,Prs,,
1:13,VERB,parla,{ride} ci si parla sopra {ride},,,,,Ind,,Sing,3,,,Pres,Fin
1:14,ADV,sopra,ci si parla sopra {ride},,,,,,,,,,,,
1:15,X,{ride},si parla sopra {ride},,,,,,,,,,,,
2:1,ADV,dopo,dopo lo devi far,,,,,,,,,,,,
2:2,PRON,lo,dopo lo devi far te,Yes,,,Masc,,,Sing,3,,Prs,,
2:3,AUX,devi,dopo lo devi far te,,,,,Ind,,Sing,2,,,Pres,Fin
2:4,VERB,far,dopo lo devi far te,,,,,,,,,,,,Inf
2:5,PRON,te,lo devi far te,Yes,,,,,,Sing,2,,Prs,,
3:1,INTJ,sì,sì già x mi,,,,,,,,,,,,
3:2,ADV,già,sì già x mi sono,,,,,,,,,,,,
3:3,X,x,sì già x mi sono emozionato,,,,,,,,,,,,
3:4,PRON,mi,sì già x mi sono emozionato,Yes,,,,,,Sing,1,,Prs,,
3:5,AUX,sono,già x mi sono emozionato,,,,,Ind,,Sing,1,,,Pres,Fin
3:6,ADJ,emozionato,x mi sono emozionato,,,,Masc,,,Sing,,,,Past,Part
4:1,CCONJ,ma,ma già qua,,,,,,,,,,,,
4:2,ADV,già,ma già qua,,,,,,,,,,,,
4:3,ADV,qua,ma già qua,,,,,,,,,,,,
5:1,INTJ,cioè,cioè quattro poi sono,,,,,,,,,,,,
5:2,NUM,quattro,cioè quattro poi sono tanti,,,,,,Card,,,,,,
5:3,ADV,poi,cioè quattro poi sono tanti,,,,,,,,,,,,
5:4,AUX,sono,cioè quattro poi sono tanti,,,,,Ind,,Plur,3,,,Pres,Fin
5:5,ADJ,tanti,quattro poi sono tanti,,,,Masc,,,Plur,,,Ind,,
6:1,CCONJ,ma,ma ti devi a,,,,,,,,,,,,
6:2,PRON,ti,ma ti devi a anche,Yes,,,,,,Sing,2,,Prs,,
6:3,AUX,devi,ma ti devi a anche autot,,,,,Ind,,Sing,2,,,Pres,Fin
6:4,X,a,ma ti devi a anche autot autotrascrivere,,,,,,,,,,,,
6:5,ADV,anche,ti devi a anche autot autotrascrivere,,,,,,,,,,,,
6:6,X,autot,devi a anche autot autotrascrivere,,,,,,,,,,,,
6:7,VERB,autotrascrivere,a anche autot autotrascrivere,,,,,,,,,,,,Inf
7:1,INTJ,sì,sì x sì mi,,,,,,,,,,,,
7:2,X,x,sì x sì mi sto,,,,,,,,,,,,
7:3,INTJ,sì,sì x sì mi sto inculando,,,,,,,,,,,,
7:4,PRON,mi,sì x sì mi sto inculando in,Yes,,,,,,Sing,1,,Prs,,
7:5,AUX,sto,x sì mi sto inculando in questo,,,,,Ind,,Sing,1,,,Pres,Fin
7:6,VERB,inculando,sì mi sto inculando in questo momento,,,,,,,,,,,,Ger
7:7,ADP,in,mi sto inculando in questo momento,,,,,,,,,,,,
7:8,DET,questo,sto inculando in questo momento,,,,Masc,,,Sing,,,Dem,,
7:9,NOUN,momento,inculando in questo momento,,,,Masc,,,Sing,,,,,
8:1,ADV,non,non è che sto,,,,,,,,,,Neg,,
8:2,VERB,è,non è che sto facendo,,,,,Ind,,Sing,3,,,Pres,Fin
8:3,SCONJ,che,non è che sto facendo il,,,,,,,,,,,,
8:4,AUX,sto,non è che sto facendo il tirocinio,,,,,Ind,,Sing,1,,,Pres,Fin
8:5,VERB,facendo,è che sto facendo il tirocinio,,,,,,,,,,,,Ger
8:6,DET,il,che sto facendo il tirocinio,,Def,,Masc,,,Sing,,,Art,,
8:7,NOUN,tirocinio,sto facendo il tirocinio,,,,Masc,,,Sing,,,,,
9:1,INTJ,ah,ah bene {ride},,,,,,,,,,,,
9:2,ADV,bene,ah bene {ride},,,,,,,,,,,,
9:3,X,{ride},ah bene {ride},,,,,,,,,,,,
10:1,SCONJ,se,se poi arriva pure,,,,,,,,,,,,
10:2,ADV,poi,se poi arriva pure francesco,,,,,,,,,,,,
10:3,VERB,arriva,se poi arriva pure francesco,,,,,Ind,,Sing,3,,,Pres,Fin
10:4,ADV,pure,se poi arriva pure francesco,,,,,,,,,,,,
10:5,PROPN,francesco,poi arriva pure francesco,,,,Masc,,,Sing,,,,,
11:1,INTJ,ciao,ciao {ride} {ride} {ride},,,,,,,,,,,,
11:2,X,{ride},ciao {ride} {ride} {ride} {ride},,,,,,,,,,,,
11:3,X,{ride},ciao {ride} {ride} {ride} {ride} alé,,,,,,,,,,,,
