id,upos,form,context,Clitic,Definite,Degree,Gender,Mood,NumType,Number,Person,Poss,PronType,Tense,VerbForm
0:1,AUX,dovresti,dovresti parlar mi di,,,,Masc,,,Plur,,,,,
0:2,VERB,parlar,dovresti parlar mi di la,,,,Masc,,,Plur,,,,,
0:3,PRON,mi,dovresti parlar mi di la tua,,,,Masc,,,Plur,,,,,
0:4,ADP,di,dovresti parlar mi di la tua casa,,,,,,,,,,,,
0:5,DET,la,parlar mi di la tua casa attuale,,Def,,Fem,,,Sing,,,Art,,
0:6,DET,tua,mi di la tua casa attuale,,,,Fem,,,Sing,,Yes,Prs,,
0:7,NOUN,casa,di la tua casa attuale,,,,Fem,,,Sing,,,,,
0:8,ADJ,attuale,la tua casa attuale,,,,,,,Sing,,,,,
1:1,INTJ,mh,mh sì,,,,,,,,,,,,
1:2,INTJ,sì,mh sì,,,,,,,,,,,,
2:1,ADV,com',com' è fatta la,,,,,,,,,,,,
2:2,AUX,è,com' è fatta la tua,,,,,Ind,,Sing,3,,,Pres,Fin
2:3,VERB,fatta,com' è fatta la tua casa,,,,Fem,,,Sing,,,,Past,Part
2:4,DET,la,com' è fatta la tua casa con,,Def,,Fem,,,Sing,,,Art,,
2:5,DET,tua,è fatta la tua casa con chi,,,,Fem,,,Sing,,Yes,Prs,,
2:6,NOUN,casa,fatta la tua casa con chi vivi,,,,Fem,,,Sing,,,,,
2:7,ADP,con,la tua casa con chi vivi,,,,,,,,,,,,
2:8,PRON,chi,tua casa con chi vivi,,,,,,,,,,Rel,,
2:9,VERB,vivi,casa con chi vivi,,,,Masc,,,Plur,,,,,
3:1,ADV,allora,allora,,,,,,,,,,,,
4:1,DET,la,la mia casa è,,Def,,Fem,,,Sing,,,Art,,
4:2,DET,mia,la mia casa è una,,,,Fem,,,Sing,,Yes,Prs,,
4:3,NOUN,casa,la mia casa è una villa,,,,Fem,,,Sing,,,,,
4:4,VERB,è,la mia casa è una villa mh,,,,,Ind,,Sing,3,,,Pres,Fin
4:5,DET,una,mia casa è una villa mh in,,Ind,,Fem,,,Sing,,,Art,,
4:6,NOUN,villa,casa è una villa mh in mezzo,,,,Fem,,,Sing,,,,,
4:7,INTJ,mh,è una villa mh in mezzo a,,,,,,,,,,,,
4:8,ADP,in,una villa mh in mezzo a la,,,,,,,,,,,,
4:9,NOUN,mezzo,villa mh in mezzo a la natura,,,,Masc,,,Sing,,,,,
4:10,ADP,a,mh in mezzo a la natura ci,,,,,,,,,,,,
4:11,DET,la,in mezzo a la natura ci viviamo,,Def,,Fem,,,Sing,,,Art,,
4:12,NOUN,natura,mezzo a la natura ci viviamo in,,,,Fem,,,Sing,,,,,
4:13,PRON,ci,a la natura ci viviamo in un,,,,,,,Plur,1,,Prs,,
4:14,VERB,viviamo,la natura ci viviamo in un po',,,,,Ind,,Plur,1,,,Pres,Fin
4:15,ADP,in,natura ci viviamo in un po' di,,,,,,,,,,,,
