tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	BO089	20.85	21.509	0.659	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 buongio[rno]	buongio[rno]	buongiorno
1	BO087	21.23	22.255	1.025	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 [ecco] buongiorno.	[ecco] buongiorno.	ecco buongiorno
2	BO089	25.71	26.133	0.423	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 xxx	xxx	xxx
3	BO087	26.231	26.693	0.462	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	 {tossisce}	{tossisce}	{tossisce}
4	BO087	26.765	29.318	2.553	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 no. ho un po' freddo, si puo' chiudere la porta?	no. ho un po' freddo, si puo' chiudere la porta?	no ho un po' freddo si puo' chiudere la porta
5	BO087	29.848	30.909	1.061	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 vi dispiace?	vi dispiace?	vi dispiace
6	???	31.075	32.009	0.934	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 (a ma per chiudere?)	(a ma per chiudere?)	a ma per chiudere
7	???	32.476	33.231	0.755	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 xxx vado io.	xxx vado io.	xxx vado io
8	BO087	37.204	38.05	0.846	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 allora lei,	allora lei,	allora lei
9	BO089	38.261	39.44	1.179	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	2	 [bibliografia {P} sì.]	[bibliografia {P} sì.]	bibliografia {P} sì
10	BO087	38.27	39.429	1.159	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [<bibliografia>,]	[<bibliografia>,]	bibliografia
11	BO087	39.617	40.57	0.953	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 magistrale.	magistrale.	magistrale
