tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	TOR001	0.15	1.5	1.35	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	eh fino a quando non carica,	eh fino a quando non carica,	eh fino a quando non carica
1	TOR002	2.363	2.979	0.616	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	vai vai	vai vai	vai vai
2	TOR001	3.812	4.323	0.511	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	ci siamo?	ci siamo?	ci siamo
3	TOR001	4.86	5.318	0.458	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay.	okay.	okay
4	TOI075	5.832	8.861	3.029	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	xx lei si sieda se non altro	xx lei si sieda se non altro	xx lei si sieda se non altro
5	TOR002	8.877	9.195	0.318	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	va bene	va bene	va bene
6	TOI075	9.199	12.566	3.367	True	0	0	1	0	0	0	0	False	False	False	False	False	_	1	1	0	8	perchè a vederlo lì [in piedi (.) dà] fastidio. ((ride))	perché a vederlo lì [in piedi {P} dà] fastidio. {ride}	perché a vederlo lì in piedi {P} dà fastidio {ride}
7	TOR001	10.288	11.941	1.653	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	[sì in effetti è un po':::]	[sì in effetti è un po':::]	sì in effetti è un po'
8	TOR002	10.703	11.686	0.983	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[va bene allora]	[va bene allora]	va bene allora
9	TOR002	12.566	13.438	0.872	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	allora mi siedo qua	allora mi siedo qua	allora mi siedo qua
10	TOR001	13.541	14.01	0.469	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((ride))	{ride}	{ride}
11	TOI075	13.541	14.01	0.469	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((ride))	{ride}	{ride}
12	TOR001	14.441	14.988	0.547	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay,	okay,	okay
13	TOR001	15.341	16.861	1.52	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	lei ha sempre vissuto a torino?	lei ha sempre vissuto a torino?	lei ha sempre vissuto a torino
14	TOI075	17.114	22.16	5.046	True	0	0	0	0	0	1	0	False	False	False	False	False	_	1	0	0	9	s::ì praticamente sempre solo (.) quando andavo in ferie ma:=	s::ì praticamente sempre solo {P} quando andavo in ferie ma:	sì praticamente sempre solo {P} quando andavo in ferie ma
15	TOR001	22.16	22.609	0.449	True	0	0	0	0	0	1	0	False	False	False	False	False	_	0	0	0	1	=okay	okay	okay
16	TOR001	23.1	23.978	0.878	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	in vacanza quindi,	in vacanza quindi,	in vacanza quindi
17	TOI075	24.155	24.349	0.194	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	eh.	eh.	eh
18	TOR001	24.432	24.83	0.398	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((ride))	{ride}	{ride}
19	TOR001	25.358	27.214	1.856	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	e in che quartiere:: ha vissuto?	e in che quartiere:: ha vissuto?	e in che quartiere ha vissuto
20	TOI075	27.48	33.423	5.943	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	9	e::hm praticamente (.) sarebbe quartiere che adesso si chiama aurora	e::hm praticamente {P} sarebbe quartiere che adesso si chiama aurora	ehm praticamente {P} sarebbe quartiere che adesso si chiama aurora
21	TOR002	33.549	33.891	0.342	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	m::h	m::h	mh
22	TOR001	33.9	34.088	0.188	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay	okay	okay
23	TOI075	34.113	35.406	1.293	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	più o meno di lì:	più o meno di lì:	più o meno di lì
24	TOI075	35.813	39.679	3.866	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	7	dalle parti ((ride)) dove ci sono gli spacciatori	dalle parti {ride} dove ci sono gli spacciatori	dalle parti {ride} dove ci sono gli spacciatori
25	TOI075	39.972	45.531	5.559	True	0	0	0	1	0	0	0	False	False	False	False	False	_	1	0	0	11	in corso @nomeluogo (.) non so ne~ se ne ha sentito pa[rla]re:	in corso nomeluogo {P} non so ne~ se ne ha sentito pa[rla]re:	in corso nomeluogo {P} non so ne~ se ne ha sentito parlare
26	TOR001	44.983	45.38	0.397	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
27	TOI075	45.846	46.89	1.044	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	comunque:	comunque:	comunque
28	TOI075	47.239	51.118	3.879	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	quando sono nato io era un quartiere normale	quando sono nato io era un quartiere normale	quando sono nato io era un quartiere normale
29	TOI075	51.162	53.681	2.519	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	non era non c'era la malavita	non era non c'era la malavita	non era non c' era la malavita
30	TOR001	53.916	54.076	0.26	True	0	0	0	0	0	0	1	False	False	False	False	False	_	0	0	0	1	okay	okay	okay
31	TOI075	54.171	54.38	0.209	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	(>diciamo<)	(>diciamo<)	diciamo
32	TOR001	54.731	55.062	0.331	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((ride))	{ride}	{ride}
33	TOR001	55.556	56.722	1.166	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	e ha sempre vissuto lì:?	e ha sempre vissuto lì:?	e ha sempre vissuto lì
34	TOI075	56.868	59.624	2.756	True	0	0	0	1	0	0	0	False	False	False	False	False	_	0	0	0	6	sì sono nato in via @nomeluogo	sì sono nato in via nomeluogo	sì sono nato in via nomeluogo
35	TOR002	59.773	59.966	0.193	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mh	mh	mh
36	TOR001	59.984	60.259	0.275	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay	okay	okay
