tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	TO002	1.456	3.031	1.575	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	3	okay (.) mi piacerebbe::	okay {P} mi piacerebbe::	okay {P} mi piacerebbe
1	TO002	3.081	4.506	1.425	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	non mi ricordo mica come è il suo nome:	non mi ricordo mica come è il suo nome:	non mi ricordo mica come è il suo nome
2	TO003	4.506	5.412	0.906	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	è mario ro[ssi]	è mario ro[ssi]	è mario rossi
3	TO002	5.227	5.91	0.683	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mar]io.	[mar]io.	mario
4	TO002	7.117	9.438	2.321	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	mario noi ci siamo conosciuti a lu:n[go:]	mario noi ci siamo conosciuti a lu:n[go:]	mario noi ci siamo conosciuti a lungo
5	TO003	9.242	10.894	1.652	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	2	[eh] s~ ((ride))	[eh] s~ {ride}	eh s~ {ride}
6	TO002	11.377	14.418	3.041	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	10	è stata una esperienza: (.) non so quanto drammatica per le:i:	è stata una esperienza: {P} non so quanto drammatica per le:i:	è stata una esperienza {P} non so quanto drammatica per lei
7	TO002	15.351	17.034	1.683	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	e:::h=m:::h	e:::h=m:::h	eh mh
8	TO002	17.425	19.535	2.11	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	appunto volevo sapere anche da lei questo:::	appunto volevo sapere anche da lei questo:::	appunto volevo sapere anche da lei questo
9	TO002	19.875	23.436	3.561	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	la sua opinione su questo libro come ho chiesto a tutti: prima di comincia:re,	la sua opinione su questo libro come ho chiesto a tutti: prima di comincia:re,	la sua opinione su questo libro come ho chiesto a tutti prima di cominciare
10	TO003	23.46	23.748	0.288	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
