tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	TO077	1.63	3.52	1.89	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 buongiorno	buongiorno	buongiorno
1	TO077	8.189	13.28	5.091	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 dunque e:h prima di: iniziare e::h	dunque e:h prima di: iniziare e::h	dunque eh prima di iniziare eh
2	TO077	13.47	18.76	5.29	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 devo darvi una comunicazione preferisco farlo con:: un certo anticipo	devo darvi una comunicazione preferisco farlo con:: un certo anticipo	devo darvi una comunicazione preferisco farlo con un certo anticipo
3	TO077	19.319	22.04	2.721	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 che e:::h riguarda	che e:::h riguarda	che eh riguarda
4	TO077	22.673	29.497	6.824	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	 la:: l' ultima parte del corso quella eh monografica co:me si diceva un tempo	la:: l' ultima parte del corso quella eh monografica co:me si diceva un tempo	la l' ultima parte del corso quella eh monografica come si diceva un tempo
5	TO077	29.751	31.872	2.121	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 cioè quella sul sessantotto	cioè quella sul sessantotto	cioè quella sul sessantotto
6	TO077	32.134	37.09	4.956	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 alla quale e:h dedicherò: le ultime tre lezioni diciamo (°insomma°)	alla quale e:h dedicherò: le ultime tre lezioni diciamo (°insomma°)	alla quale eh dedicherò le ultime tre lezioni diciamo insomma
7	TO077	37.569	38.853	1.284	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 e::hm	e::hm	ehm
8	TO077	39.54	42.673	3.133	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 se avete guardato la scheda del corso	se avete guardato la scheda del corso	se avete guardato la scheda del corso
9	TO077	43.342	45.456	2.114	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 avrete visto che	avrete visto che	avrete visto che
10	TO077	46.17	49.607	3.437	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 io vi ho indicato due testi	io vi ho indicato due testi	io vi ho indicato due testi
11	TO077	49.788	52.066	2.278	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 e::h sull' argomento	e::h sull' argomento	eh sull' argomento
12	TO077	52.219	57.447	5.228	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	 e:::h tra i quali ognuno puo' liberamente scegliere l' uno o l' altro	e:::h tra i quali ognuno puo' liberamente scegliere l' uno o l' altro	eh tra i quali ognuno puo' liberamente scegliere l' uno o l' altro
13	TO077	57.798	61.729	3.931	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 e::h pero' la comunicazione riguarda	e::h pero' la comunicazione riguarda	eh pero' la comunicazione riguarda
14	TO077	61.822	65.107	3.285	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 e per questo preferisco farlo con un certo anticipo	e per questo preferisco farlo con un certo anticipo	e per questo preferisco farlo con un certo anticipo
15	TO077	65.474	70.107	4.633	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 riguarda la <disponibilità> di questi::: volumi.	riguarda la <disponibilità> di questi::: volumi.	riguarda la disponibilità di questi volumi
16	TO077	70.417	72.215	1.798	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 perché allora	perché allora	perché allora
17	TO077	72.678	76.203	3.525	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 e::h i due volumi sono il pri:mo	e::h i due volumi sono il pri:mo	eh i due volumi sono il primo
18	TO077	76.576	81.74	5.164	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 autore diego giachetti che si intitola il sessantotto in italia	autore diego giachetti che si intitola il sessantotto in italia	autore diego giachetti che si intitola il sessantotto in italia
19	TO077	82.192	85.356	3.164	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 sottotitolo le idee, i movimenti, la politica.	sottotitolo le idee, i movimenti, la politica.	sottotitolo le idee i movimenti la politica
20	TO077	85.391	87.492	2.101	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 questo è un volume	questo è un volume	questo è un volume
21	TO077	88.01	90.478	2.468	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 che=è uscito da pochi mesi	che=è uscito da pochi mesi	che è uscito da pochi mesi
22	TO077	91.294	93.44	2.146	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 e quindi:: lo si trova	e quindi:: lo si trova	e quindi lo si trova
23	TO077	93.484	96.528	3.044	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 in libreria:: facilmente spero.	in libreria:: facilmente spero.	in libreria facilmente spero
24	TO077	96.645	99.285	2.64	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	 cioè insomma lo fanno arrivare	cioè insomma lo fanno arrivare	cioè insomma lo fanno arrivare
25	TO077	99.679	104.895	5.216	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 e::h il secondo: testo invece=è più vecchio è del duemilaeotto	e::h il secondo: testo invece=è più vecchio è del duemilaeotto	eh il secondo testo invece è più vecchio è del duemilaeotto
26	TO077	105.322	107.834	2.512	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 si intitola il sessantotto	si intitola il sessantotto	si intitola il sessantotto
27	TO077	108.069	109.98	1.911	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 una breve storia	una breve storia	una breve storia
28	TO077	110.174	111.75	1.576	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 ed è di una:	ed è di una:	ed è di una
29	TO077	111.995	117.35	5.355	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 e::h docente dell' università di bologna, marica tolomelli	e::h docente dell' università di bologna, marica tolomelli	eh docente dell' università di bologna marica tolomelli
30	TO077	117.845	121.105	3.26	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 allora, eh io mi rendo conto	allora, eh io mi rendo conto	allora eh io mi rendo conto
31	TO077	121.747	127.507	5.76	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 diciamo della: aleatorietà di questi discorsi fatti con un certo anticipo	diciamo della: aleatorietà di questi discorsi fatti con un certo anticipo	diciamo della aleatorietà di questi discorsi fatti con un certo anticipo
32	TO077	128.044	130.298	2.254	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 e::h io e:::h	e::h io e:::h	eh io eh
33	TO077	130.419	136.762	6.343	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	 penso sia giusto darvi intanto un' informazione sulla differenza tra i due:: testi	penso sia giusto darvi intanto un' informazione sulla differenza tra i due:: testi	penso sia giusto darvi intanto un' informazione sulla differenza tra i due testi
34	TO077	137.302	141.448	4.146	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	7	 ma prima ancora precisare perché {P} mi metto	ma prima ancora precisare perché {P} mi metto	ma prima ancora precisare perché {P} mi metto
35	TO077	141.516	145.377	3.861	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 e:h a fine novembre a fare questo discorso perché	e:h a fine novembre a fare questo discorso perché	eh a fine novembre a fare questo discorso perché
36	TO077	145.702	150.898	5.196	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	 come ho detto prima il testo della tolomelli è un testo eh vecchio	come ho detto prima il testo della tolomelli è un testo eh vecchio	come ho detto prima il testo della tolomelli è un testo eh vecchio
37	TO077	151.754	155.493	3.739	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 questo vuol dire che io: ho fatto qualche: sondaggio	questo vuol dire che io: ho fatto qualche: sondaggio	questo vuol dire che io ho fatto qualche sondaggio
38	TO077	155.521	160.318	4.797	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	 vuol dire che le librerie ne hanno un certo: numero non tantissime	vuol dire che le librerie ne hanno un certo: numero non tantissime	vuol dire che le librerie ne hanno un certo numero non tantissime
39	TO077	160.735	165.615	4.88	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 pero' qui si pone un piccolo problema e cioè che e::h	pero' qui si pone un piccolo problema e cioè che e::h	pero' qui si pone un piccolo problema e cioè che eh
40	TO077	165.717	168.73	3.013	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 la maggior parte delle case editrici o:rmai	la maggior parte delle case editrici o:rmai	la maggior parte delle case editrici ormai
41	TO077	169.294	170.376	1.082	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 e::h	e::h	eh
42	TO077	170.566	174.034	3.468	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 non ristampa più i vecchi:: volumi	non ristampa più i vecchi:: volumi	non ristampa più i vecchi volumi
43	TO077	174.149	177.335	3.186	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 a meno che uno non sia °insomma°	a meno che uno non sia °insomma°	a meno che uno non sia insomma
44	TO077	177.48	180.075	2.595	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 e:h un autore di primissima fascia	e:h un autore di primissima fascia	eh un autore di primissima fascia
45	TO077	180.101	183.727	3.626	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 di quelli che garantiscono migliaia di copie di vendita	di quelli che garantiscono migliaia di copie di vendita	di quelli che garantiscono migliaia di copie di vendita
46	TO077	183.759	187.123	3.364	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	 ma non è il caso di questi poveri libri qui	ma non è il caso di questi poveri libri qui	ma non è il caso di questi poveri libri qui
47	TO077	187.589	193.089	5.5	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	11	 che quando: raggiungono le mille copie: di vendita brindano tutti {ride} diciamo	che quando: raggiungono le mille copie: di vendita brindano tutti {ride} diciamo	che quando raggiungono le mille copie di vendita brindano tutti {ride} diciamo
48	TO077	193.253	194.323	1.07	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 e::h	e::h	eh
49	TO077	194.376	198.338	3.962	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	 allora cosa vuol dire vuol dire pero' che le case editrici	allora cosa vuol dire vuol dire pero' che le case editrici	allora cosa vuol dire vuol dire pero' che le case editrici
50	TO077	198.398	201.639	3.241	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 compresa la casa editrice carocci eh	compresa la casa editrice carocci eh	compresa la casa editrice carocci eh
51	TO077	202.619	208.082	5.463	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	 eh lavorano ormai con quella procedura che si chiama print on demand	eh lavorano ormai con quella procedura che si chiama print on demand	eh lavorano ormai con quella procedura che si chiama print on demand
52	TO077	208.175	211.84	3.665	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 e cioè che in poche parole significa	e cioè che in poche parole significa	e cioè che in poche parole significa
53	TO077	212.096	216.018	3.922	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	 che ci cerca il libro vada (là) e dice io vorrei avere quel libro	che ci cerca il libro vada (là) e dice io vorrei avere quel libro	che ci cerca il libro vada là e dice io vorrei avere quel libro
54	TO077	216.079	219.705	3.626	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	 quella eh libreria contatta la casa editrice	quella eh libreria contatta la casa editrice	quella eh libreria contatta la casa editrice
55	TO077	219.739	224.638	4.899	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	 la casa editrice quando ha un numero anche molto piccolo di domande	la casa editrice quando ha un numero anche molto piccolo di domande	la casa editrice quando ha un numero anche molto piccolo di domande
56	TO077	224.976	228.324	3.348	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 stampa delle copie del libro e lo fa pervenire.	stampa delle copie del libro e lo fa pervenire.	stampa delle copie del libro e lo fa pervenire
57	TO077	229.138	233.537	4.399	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 e:h io so e questa comunicazione che volevo darvi	e:h io so e questa comunicazione che volevo darvi	eh io so e questa comunicazione che volevo darvi
58	TO077	233.881	238.455	4.574	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 e:h che la libreria stampatori universitaria	e:h che la libreria stampatori universitaria	eh che la libreria stampatori universitaria
59	TO077	238.512	241.645	3.133	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 quella proprio qui di fronte a palazzo nuovo	quella proprio qui di fronte a palazzo nuovo	quella proprio qui di fronte a palazzo nuovo
60	TO077	241.884	245.668	3.784	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 è in contatto con la casa editrice per questa	è in contatto con la casa editrice per questa	è in contatto con la casa editrice per questa
61	TO077	246.096	250.823	4.727	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	 procedura. non escludo che ce l' abbiamo anche altre case editrici eh	procedura. non escludo che ce l' abbiamo anche altre case editrici eh	procedura non escludo che ce l' abbiamo anche altre case editrici eh
