tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	BO026	6.57	7.55	0.98	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	e:h=mh,	e:h=mh,	eh mh
1	BO026	7.675	9.03	1.355	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	'spetti che preparo:,	'spetti che preparo:,	'spetti che preparo
2	BO026	10.861	11.813	0.952	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	°il file,°	°il file,°	il file
3	BO026	13.006	14.39	1.384	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	mi ricorda il suo nome,	mi ricorda il suo nome,	mi ricorda il suo nome
4	BO020	14.39	16.86	2.47	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	allora io mi chiamo rossi anna giulia	allora io mi chiamo rossi anna giulia	allora io mi chiamo rossi anna giulia
5	BO020	17.655	22.66	5.005	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	e:h in realtà prima vorrei un' informazione sulla: sull' esame di giug[no giu]gno luglio,	e:h in realtà prima vorrei un' informazione sulla: sull' esame di giug[no giu]gno luglio,	eh in realtà prima vorrei un' informazione sulla sull' esame di giugno giugno luglio
6	BO026	21.61	21.93	0.32	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì,]	[sì,]	sì
7	BO020	22.795	24.43	1.635	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	[eh lei non ha ancora abili~]	[eh lei non ha ancora abili~]	eh lei non ha ancora abili~
8	BO026	22.796	24.64	1.844	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[di didattica delle lingue modern]e?	[di didattica delle lingue modern]e?	di didattica delle lingue moderne
9	BO020	24.64	24.938	0.298	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì.	sì.	sì
10	BO020	25.346	27.72	2.374	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	non ha ancora abilitato per=eh,	non ha ancora abilitato per=eh,	non ha ancora abilitato per eh
11	BO020	28.081	29.286	1.205	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	per l' i[scrizione,]	per l' i[scrizione,]	per l' iscrizione
12	BO026	28.401	34.568	6.167	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	19	[allora c' è stato un pro]blema in segreteria che dovrebbero aver risolto [un problema te]cnico della segreteria da oggi,	[allora c' è stato un pro]blema in segreteria che dovrebbero aver risolto [un problema te]cnico della segreteria da oggi,	allora c' è stato un problema in segreteria che dovrebbero aver risolto un problema tecnico della segreteria da oggi
13	BO020	31.7	32.36	0.66	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[m:h,]	[m:h,]	mh
14	BO020	34.716	35.15	0.434	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	mh mh,	mh mh,	mh mh
15	BO026	35.15	41.188	6.038	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	17	e:h ho visto: eh loro dovrebbero averlo risolto perché dieci giorni fa l' ha segnalto una studentessa.	e:h ho visto: eh loro dovrebbero averlo risolto perché dieci giorni fa l' ha segnalto una studentessa.	eh ho visto eh loro dovrebbero averlo risolto perché dieci giorni fa l' ha segnalto una studentessa
16	BO020	41.289	42.35	1.061	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	forse proprio io.	forse proprio io.	forse proprio io
17	BO020	42.831	44.629	1.798	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	perché: in realtà: e[:h]	perché: in realtà: e[:h]	perché in realtà eh
18	BO026	44.291	47.015	2.724	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	[però] da og[gi a partire dal trenta,]	[però] da og[gi a partire dal trenta,]	però da oggi a partire dal trenta
19	BO020	45.053	50.343	5.29	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	[non è in blu: la:: il] il pi:ù che apre la tendina pe:r=ah,	[non è in blu: la:: il] il pi:ù che apre la tendina pe:r=ah,	non è in blu la il il più che apre la tendina per ah
20	BO020	50.56	52.468	1.908	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	e::[h per le prenotazioni.]	e::[h per le prenotazioni.]	eh per le prenotazioni
21	BO026	51.215	52.85	1.635	True	0	0	0	0	0	0	False	False	False	False	True	20=1.253,22=0.008	0	0	0	5	[adesso lo diciamo di] nuovo.	[adesso lo diciamo di] nuovo.	adesso lo diciamo di nuovo
22	BO020	52.842	54.893	2.051	True	0	0	0	0	0	0	False	False	False	False	True	21=0.008	0	0	0	7	dall' altra parte invece è in blu.	dall' altra parte invece è in blu.	dall' altra parte invece è in blu
23	BO020	54.938	59.123	4.185	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	allora io ho provato ad aprire però mi dice che non è prenotabile nulla.	allora io ho provato ad aprire però mi dice che non è prenotabile nulla.	allora io ho provato ad aprire però mi dice che non è prenotabile nulla
24	BO020	59.178	62.308	3.13	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	ho controllato stamattina: credo verso:,	ho controllato stamattina: credo verso:,	ho controllato stamattina credo verso
25	BO020	62.561	64.053	1.492	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	le dieci le undici,	le dieci le undici,	le dieci le undici
26	BO020	64.375	66.053	1.678	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	l' ultima volta e ancora,	l' ultima volta e ancora,	l' ultima volta e ancora
27	BO020	66.181	67.655	1.474	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	era così la situazione.	era così la situazione.	era così la situazione
28	BO026	68.141	69.712	1.571	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	al[lora fa]ccia una cosa,	al[lora fa]ccia una cosa,	allora faccia una cosa
29	BO020	68.286	68.9	0.614	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[quindi,]	[quindi,]	quindi
30	BO026	69.795	71.5	1.705	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	>subito dopo aver parlato con me,<	>subito dopo aver parlato con me,<	subito dopo aver parlato con me
31	BO026	71.593	71.904	0.311	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	lo,	lo,	lo
32	BO026	72.133	80.01	7.877	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	24	bussa qui alla porta a fianco: e:[: e glie]lo dice lo segnala perché io ho controllato per vedere se c' erano già degli iscritti,	bussa qui alla porta a fianco: e:[: e glie]lo dice lo segnala perché io ho controllato per vedere se c' erano già degli iscritti,	bussa qui alla porta a fianco e e glielo dice lo segnala perché io ho controllato per vedere se c' erano già degli iscritti
33	BO020	74.22	75.181	0.961	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[°perfetto. okay.°]	[°perfetto. okay.°]	perfetto okay
34	BO020	80.01	80.378	0.368	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì,	sì,	sì
35	BO026	80.725	84.382	3.657	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	e:h=mh e siccome però le is~ le iscrizioni,	e:h=mh e siccome però le is~ le iscrizioni,	eh mh e siccome però le is~ le iscrizioni
36	BO026	84.946	87.74	2.794	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	sarebbero partite:[: da] oggi,	sarebbero partite:[: da] oggi,	sarebbero partite da oggi
37	BO020	86.586	87.191	0.605	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[sì da,]	[sì da,]	sì da
38	BO020	87.74	88.116	0.376	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mh,	mh,	mh
39	BO026	88.341	91.074	2.733	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	e::h=mh non non c' erano anc[ora,]	e::h=mh non non c' erano anc[ora,]	eh mh non non c' erano ancora
40	BO020	90.873	91.361	0.488	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[eh] eh.	[eh] eh.	eh eh
41	BO026	91.489	99.244	7.755	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	32	loro mi hanno eh io non ero qui: ero: fuori bologna >e loro mi hanno mandato una mail dicendo che avevano risolto il problema< non era u[na cos]a che dipendeva da me.	loro mi hanno eh io non ero qui: ero: fuori bologna >e loro mi hanno mandato una mail dicendo che avevano risolto il problema< non era u[na cos]a che dipendeva da me.	loro mi hanno eh io non ero qui ero fuori bologna e loro mi hanno mandato una mail dicendo che avevano risolto il problema non era una cosa che dipendeva da me
42	BO020	97.801	98.166	0.365	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mh,]	[mh,]	mh
