tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	BO093	0.18	6.442	6.262	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	13	prima di tutto: vi ricordo le lezioni della prossima settimana quindi martedì prima	prima di tutto: vi ricordo le lezioni della prossima settimana quindi martedì prima	prima di tutto vi ricordo le lezioni della prossima settimana quindi martedì prima
1	BO093	6.801	12.026	5.225	True	0	1	0	0	0	0	False	False	False	False	False		0	0	0	17	e::h dalle nove alle undici come al solito per quelli che seguono il corsod a 6 cfu,	e::h dalle nove alle undici come al solito per quelli che seguono il corsod a sei cfu,	eh dalle nove alle undici come al solito per quelli che seguono il corsod a sei cfu
2	BO093	12.55	17.638	5.088	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	11	a:: giovedì e venerdì dalle nov~ no non è vero martedì,	a:: giovedì e venerdì dalle nov~ no non è vero martedì,	a giovedì e venerdì dalle nov~ no non è vero martedì
3	BO093	17.953	19.97	2.017	True	0	0	0	0	0	0	False	False	False	False	True		0	0	0	3	[ride] per tu:tti,	[ride] per tu:tti,	ride per tutti
4	BO093	20.714	26.83	6.116	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	14	ehe giovedì per tutti mentre venerdì la lettura degli articoli dalle nove alle undici.	ehe giovedì per tutti mentre venerdì la lettura degli articoli dalle nove alle undici.	ehe giovedì per tutti mentre venerdì la lettura degli articoli dalle nove alle undici
5	BO093	27.137	28.901	1.764	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	confermate? okay	confermate? okay	confermate okay
6	BO093	32.028	42.924	10.896	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	24	e::hm perfetto così arriviamo alla lettura degli artcoli avendo trattato tutte le patologie di xx allora con la lezione di oggi iniziamo a parlare	e::hm perfetto così arriviamo alla lettura degli artcoli avendo trattato tutte le patologie di xx allora con la lezione di oggi iniziamo a parlare	ehm perfetto così arriviamo alla lettura degli artcoli avendo trattato tutte le patologie di xx allora con la lezione di oggi iniziamo a parlare
7	BO093	44.084	50.602	6.518	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	13	dele dei meccanismi cellulari e molecolari che sono alla base delle loro patologie.	dele dei meccanismi cellulari e molecolari che sono alla base delle loro patologie.	dele dei meccanismi cellulari e molecolari che sono alla base delle loro patologie
8	BO093	50.931	57.703	6.772	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	12	in realtà in questo corso tratteremo quasi esclusivamente le malattie neurodegenerative croniche,	in realtà in questo corso tratteremo quasi esclusivamente le malattie neurodegenerative croniche,	in realtà in questo corso tratteremo quasi esclusivamente le malattie neurodegenerative croniche
9	BO093	58.485	68.694	10.209	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	17	e::hm e se riusciamo vi dirò qualcosa sulle patologie legate al neurosviluppo che sono essenzialmente patologie psichiatriche,	e::hm e se riusciamo vi dirò qualcosa sulle patologie legate al neurosviluppo che sono essenzialmente patologie psichiatriche,	ehm e se riusciamo vi dirò qualcosa sulle patologie legate al neurosviluppo che sono essenzialmente patologie psichiatriche
10	BO093	69.334	77.046	7.712	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	16	e::hm però vedete l' elenco delle patologie a carico del sistema nervoso centrale è molto ampio.	e::hm però vedete l' elenco delle patologie a carico del sistema nervoso centrale è molto ampio.	ehm però vedete l' elenco delle patologie a carico del sistema nervoso centrale è molto ampio
11	BO093	77.446	85.027	7.581	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	13	partiamo ovviamente dalle patologie oncologiche su non mi soffermo per ragioni di tempo,	partiamo ovviamente dalle patologie oncologiche su non mi soffermo per ragioni di tempo,	partiamo ovviamente dalle patologie oncologiche su non mi soffermo per ragioni di tempo
12	BO093	85.636	94.447	8.811	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	15	m:h considerando quello che abbiamo detto nelle lezioni potete intuire facilmente che le malattie oncologiche,	m:h considerando quello che abbiamo detto nelle lezioni potete intuire facilmente che le malattie oncologiche,	mh considerando quello che abbiamo detto nelle lezioni potete intuire facilmente che le malattie oncologiche
13	BO093	94.926	102.647	7.721	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	20	sono di origine neuronale solo nei bambini e durante le fasi dello sviluppo dopo di che i neuroni essendo prosistotici	sono di origine neuronale solo nei bambini e durante le fasi dello sviluppo dopo di che i neuroni essendo prosistotici	sono di origine neuronale solo nei bambini e durante le fasi dello sviluppo dopo di che i neuroni essendo prosistotici
14	BO093	103.212	107.92	4.708	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	10	e::h hanno diciamo almeno questo vantaggio che non provocano tumori,	e::h hanno diciamo almeno questo vantaggio che non provocano tumori,	eh hanno diciamo almeno questo vantaggio che non provocano tumori
15	BO093	108.244	119.647	11.403	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	20	mentre nell' adulto sono essenzialmente tumori di origine gliale o delle cellule tendinali quindi parliamo di atrocitoma aliomi di microgliomi,	mentre nell' adulto sono essenzialmente tumori di origine gliale o delle cellule tendinali quindi parliamo di atrocitoma aliomi di microgliomi,	mentre nell' adulto sono essenzialmente tumori di origine gliale o delle cellule tendinali quindi parliamo di atrocitoma aliomi di microgliomi
16	BO093	119.995	121.024	1.029	True	1	0	0	0	0	0	False	False	True	False	False		0	0	0	4	e : e così via.	e:) e così via.	e e così via
17	BO093	122.395	130.025	7.63	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	15	poi abbiamo tutta una serie di patologie dello sviluppo del sistema nervoso entrale che portano	poi abbiamo tutta una serie di patologie dello sviluppo del sistema nervoso entrale che portano	poi abbiamo tutta una serie di patologie dello sviluppo del sistema nervoso entrale che portano
18	BO093	130.261	133.053	2.792	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	a delle disabilità intellettuali.	a delle disabilità intellettuali.	a delle disabilità intellettuali
19	BO093	133.343	137.467	4.124	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	10	e qui tratteremo un o' della sindrome di down perché	e qui tratteremo un o' della sindrome di down perché	e qui tratteremo un o' della sindrome di down perché
20	BO093	137.816	144.763	6.947	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	16	la sindrome di down nelle fasi avanzate delle patologie porta allo sviluppo di morbo di alzheimer,	la sindrome di down nelle fasi avanzate delle patologie porta allo sviluppo di morbo di alzheimer,	la sindrome di down nelle fasi avanzate delle patologie porta allo sviluppo di morbo di alzheimer
21	BO093	145.3	155.563	10.263	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	18	e::hm ma diciamo per il resto vediamo fondamentalmente se riusciamo a dire qualcosa dei disturbi dello spettro autistico,	e::hm ma diciamo per il resto vediamo fondamentalmente se riusciamo a dire qualcosa dei disturbi dello spettro autistico,	ehm ma diciamo per il resto vediamo fondamentalmente se riusciamo a dire qualcosa dei disturbi dello spettro autistico
22	BO093	155.891	168.079	12.188	True	0	0	0	0	0	0	False	False	False	False	False		0	0	1	26	mentre queste altre patologie la sindrome dell' icsfasi dell'xx la neurofibromatosi la sclerosi tuberosa che soo di origine essenzialmente genetica poi l' eziologia genetica può essere diversificata,	mentre queste altre patologie la sindrome dell' icsfasi dell'xx la neurofibromatosi la sclerosi tuberosa che soo di origine essenzialmente genetica poi l' eziologia genetica può essere diversificata,	mentre queste altre patologie la sindrome dell' icsfasi dell'xx la neurofibromatosi la sclerosi tuberosa che soo di origine essenzialmente genetica poi l' eziologia genetica può essere diversificata
