tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	BO118	0.96	2.78	1.82	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	dovresti parlarmi della tua casa.	dovresti parlarmi della tua casa.	dovresti parlarmi della tua casa
1	BO118	2.81	3.4	0.59	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	attuale.	attuale.	attuale
2	BO140	4.9	5.94	1.04	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	mh sì	mh sì	mh sì
3	BO118	5.95	8.61	2.66	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	com' è fatta:: la tua casa:, con chi vivi,	com' è fatta:: la tua casa:, con chi vivi,	com' è fatta la tua casa con chi vivi
4	BO140	9.19	13.92	4.73	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	allora la mia ca:sa:: è::: una: villa::	allora la mia ca:sa:: è::: una: villa::	allora la mia casa è una villa
5	BO140	14.54	16.62	2.08	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	mh: in mezzo alla natura,	mh: in mezzo alla natura,	mh in mezzo alla natura
6	BO140	17.0	20.76	3.76	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	ci viviamo: in: un po' di famiglie, che sono::,	ci viviamo: in: un po' di famiglie, che sono::,	ci viviamo in un po' di famiglie che sono
7	BO140	21.332	22.63	1.298	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	eh:: la mia famiglia,	eh:: la mia famiglia,	eh la mia famiglia
8	BO118	22.716	23.28	0.564	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mh[mh]	mh[mh]	mhmh
9	BO140	23.11	23.93	0.82	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mi]a nonna,	[mi]a nonna,	mia nonna
10	BO140	24.725	30.51	5.785	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	18	mh i miei cugini quindi due famiglie: e la nonna dei miei cugini quindi ci sono cinque famiglie	mh i miei cugini quindi due famiglie: e la nonna dei miei cugini quindi ci sono cinque famiglie	mh i miei cugini quindi due famiglie e la nonna dei miei cugini quindi ci sono cinque famiglie
11	BO118	30.54	32.7	2.16	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	<okay> quindi è fatta su diversi piani?	<okay> quindi è fatta su diversi piani?	okay quindi è fatta su diversi piani
12	BO140	32.735	34.93	2.195	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	sì: ci sono:: tre piani,	sì: ci sono:: tre piani,	sì ci sono tre piani
13	BO118	34.977	35.64	0.663	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mh[mh]	mh[mh]	mhmh
14	BO140	35.477	41.26	5.783	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	17	[e l' ul]timo piano: è: una soffitta che:: in realtà:: è abitata: da uno dei miei zii	[e l' ul]timo piano: è: una soffitta che:: in realtà:: è abitata: da uno dei miei zii	e l' ultimo piano è una soffitta che in realtà è abitata da uno dei miei zii
