tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	BOI059	0.007	1.212	1.205	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	3	>un'intro nome cognome qualcosa?<	>un'intro nome cognome qualcosa?<	un'intro nome cognome qualcosa
1	BOR017	2.236	3.1	0.864	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	dove sei nata?	dove sei nata?	dove sei nata
2	BOI059	3.885	4.69	0.805	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	a bologna	a bologna	a bologna
3	BOI059	4.898	7.491	2.593	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	7	non su in via d'azeglio ma al maggiore	non su in via d'azeglio ma al maggiore	non su in via d'azeglio ma al maggiore
4	BOR017	8.21	9.591	1.381	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	e dove abiti adesso?	e dove abiti adesso?	e dove abiti adesso
5	BOI059	9.9	11.267	1.367	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	a casalecchio di reno	a casalecchio di reno	a casalecchio di reno
6	BOI059	11.393	15.607	4.214	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	che è come dire bologna nel senso che facciamo parte della città metropolitana	che è come dire bologna nel senso che facciamo parte della città metropolitana	che è come dire bologna nel senso che facciamo parte della città metropolitana
7	BOI059	15.921	19.333	3.412	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	un tempo eravamo due comuni separati e adesso solo sulla carta	un tempo eravamo due comuni separati e adesso solo sulla carta	un tempo eravamo due comuni separati e adesso solo sulla carta
8	BOI059	19.407	21.2	1.793	True	0	0	0	0	0	0	0	False	False	False	False	True	9=0.200	0	0	0	5	>ma ci piacerebbe rimanerlo< grazie	>ma ci piacerebbe rimanerlo< grazie	ma ci piacerebbe rimanerlo grazie
9	BOR017	21.0	21.52	0.52	True	0	0	0	0	0	0	0	False	False	False	False	True	8=0.200	0	1	0	0	((ride))	{ride}	{ride}
10	BOI059	21.672	22.027	0.355	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((ride))	{ride}	{ride}
11	BOR017	22.047	23.079	1.032	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	e il quartie:re?	e il quartie:re?	e il quartiere
12	BOI059	23.239	24.097	0.858	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	il quartiere è	il quartiere è	il quartiere è
13	BOI059	24.186	25.47	1.284	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	essendo un altro	essendo un altro	essendo un altro
