tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	TOR010	1.79	5.8	4.01	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	7	adesso sta registrando (.) in quale paese vive?	adesso sta registrando {P} in quale paese vive?	adesso sta registrando {P} in quale paese vive
1	TOI112	7.95	15.32	7.37	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	23	io vivo in un comune: al confine della provincia fra torino e cuneo di cin~ circa cinquemila abitanti che si chiama villafranca piemonte	io vivo in un comune: al confine della provincia fra torino e cuneo di cin~ circa cinquemila abitanti che si chiama villafranca piemonte	io vivo in un comune al confine della provincia fra torino e cuneo di cin~ circa cinquemila abitanti che si chiama villafranca piemonte
2	TOR010	16.21	21.73	5.52	True	0	0	0	0	0	0	False	False	False	False	False	_	2	0	0	13	okay (.) è cambiato molto nel corso degli anni questo paese? (.) se sì come?	okay {P} è cambiato molto nel corso degli anni questo paese? {P} se sì come?	okay {P} è cambiato molto nel corso degli anni questo paese {P} se sì come
3	TOI112	22.28	35.45	13.17	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	3	24	mah questo paese è sempre rimasto:: com'era una volta agricolo però l'agricoltura è cambiata che è diventata intensiva invece di (.) di un'agricoltura più::: più di piccole realtà	mah questo paese è sempre rimasto:: com'era una volta agricolo però l'agricoltura è cambiata che è diventata intensiva invece di {P} di un'agricoltura più::: più di piccole realtà	mah questo paese è sempre rimasto com'era una volta agricolo però l'agricoltura è cambiata che è diventata intensiva invece di {P} di un'agricoltura più più di piccole realtà
4	TOR010	36.469	36.554	0.085	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	°okay°	°okay°	okay
5	TOR010	38.31	40.48	2.17	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	e:h come si trova in questo paese? le piace?	e:h come si trova in questo paese? le piace?	eh come si trova in questo paese le piace
6	TOI112	42.04	50.43	8.39	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	19	mah io sono nato qua: e::hm sono abituato qua mh sto bene qua (.) sicuramente ci sono posti migliori però::	mah io sono nato qua: e::hm sono abituato qua mh sto bene qua {P} sicuramente ci sono posti migliori però::	mah io sono nato qua ehm sono abituato qua mh sto bene qua {P} sicuramente ci sono posti migliori però
7	TOI112	52.36	56.108	3.748	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	essendo:: nato qua e::hm	essendo:: nato qua e::hm	essendo nato qua ehm
8	TOI112	57.535	58.235	0.7	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	va bene così	va bene così	va bene così
9	TOR010	60.68	62.76	2.08	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	sono cambiate le persone che vivono nel paese?	sono cambiate le persone che vivono nel paese?	sono cambiate le persone che vivono nel paese
10	TOI112	64.565	71.891	7.326	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	19	persone che vivono nel paese::: sono molto più::: sulle sue rispetto a una volta cioè basta fare un esempio	persone che vivono nel paese::: sono molto più::: sulle sue rispetto a una volta cioè basta fare un esempio	persone che vivono nel paese sono molto più sulle sue rispetto a una volta cioè basta fare un esempio
11	TOI112	72.614	95.915	23.301	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	56	cioè: io vengo dalla campagna: e::hm lavoro ancora adesso in campagna cioè una volta e:hm per esempio quando si aveva bisogno di:: un'attrezzatura agricola si andava: a chieder~ a richiederla a un vicino mh che te la dava in prestito e poi magari il vicino veniva a:: mh prenderla da te e tu gliela davi in prestito	cioè: io vengo dalla campagna: e::hm lavoro ancora adesso in campagna cioè una volta e:hm per esempio quando si aveva bisogno di:: un'attrezzatura agricola si andava: a chieder~ a richiederla a un vicino mh che te la dava in prestito e poi magari il vicino veniva a:: mh prenderla da te e tu gliela davi in prestito	cioè io vengo dalla campagna ehm lavoro ancora adesso in campagna cioè una volta ehm per esempio quando si aveva bisogno di un'attrezzatura agricola si andava a chieder~ a richiederla a un vicino mh che te la dava in prestito e poi magari il vicino veniva a mh prenderla da te e tu gliela davi in prestito
12	TOI112	97.012	116.312	19.3	True	0	0	2	0	0	0	False	False	False	False	False	_	0	0	2	43	m::h non era raro magari gente che andava a chiedere e:hm magari un'attrezzatura in prestito magari a un chilometro due chilomentri di distanza cosa che adesso non succede più perchè piuttosto di andare a prendere in prestito un'attrezzatura uno se la compera perchè poi:: e:hm	m::h non era raro magari gente che andava a chiedere e:hm magari un'attrezzatura in prestito magari a un chilometro due chilomentri di distanza cosa che adesso non succede più perchè piuttosto di andare a prendere in prestito un'attrezzatura uno se la compera perchè poi:: e:hm	mh non era raro magari gente che andava a chiedere ehm magari un'attrezzatura in prestito magari a un chilometro due chilomentri di distanza cosa che adesso non succede più perché piuttosto di andare a prendere in prestito un'attrezzatura uno se la compera perché poi ehm
13	TOI112	117.012	131.53	14.518	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	44	e:hm (.) mh la gente si è chiusa maggiormente quindi e::hm è una cosa un po' reciproca io non vado a prendere una cosa in presito da te e::: però mi dà fastidio se tu vieni a prenderla da me solo proprio in casi no?	e:hm {P} mh la gente si è chiusa maggiormente quindi e::hm è una cosa un po' reciproca io non vado a prendere una cosa in presito da te e::: però mi dà fastidio se tu vieni a prenderla da me solo proprio in casi no?	ehm {P} mh la gente si è chiusa maggiormente quindi ehm è una cosa un po' reciproca io non vado a prendere una cosa in presito da te e però mi dà fastidio se tu vieni a prenderla da me solo proprio in casi no
