tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	TO065	0.83	3.852	3.022	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	e nei programmi di neri ha [trovato qualcosa?]	e nei programmi di neri ha [trovato qualcosa?]	e nei programmi di neri ha trovato qualcosa
1	TO061	3.0	5.85	2.85	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	[nei programmi di ne]ri invece ho trovato due co:rsi,	[nei programmi di ne]ri invece ho trovato due co:rsi,	nei programmi di neri invece ho trovato due corsi
2	TO061	5.869	8.734	2.865	True	0	0	0	0	0	1	0	False	False	False	False	False	_	0	0	0	10	=allora uno del >duemilaquindici duemilaesedici< che le avevo già segnala:to,	allora uno del >duemilaquindici duemilaesedici< che le avevo già segnala:to,	allora uno del duemilaquindici duemilaesedici che le avevo già segnalato
3	TO061	9.186	12.727	3.541	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	13	e:hm e che affronta (.) fa un confronto fra tre novelle e tre fabli[aux],	e:hm e che affronta {P} fa un confronto fra tre novelle e tre fabli[aux],	ehm e che affronta {P} fa un confronto fra tre novelle e tre fabliaux
4	TO065	12.441	15.302	2.861	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	[chiedo scu]sa, per recuperare questo poi come facciamo?	[chiedo scu]sa, per recuperare questo poi come facciamo?	chiedo scusa per recuperare questo poi come facciamo
5	TO071	16.002	18.054	2.052	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	e::hm nel momento in cui esce::	e::hm nel momento in cui esce::	ehm nel momento in cui esce
6	TO071	18.427	19.86	1.433	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	finite, io lo prendo e vado [via.]	finite, io lo prendo e vado [via.]	finite io lo prendo e vado via
7	TO065	19.728	20.808	1.08	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[ah] va bene, d' acc[ordo.]	[ah] va bene, d' acc[ordo.]	ah va bene d' accordo
8	TO071	20.464	20.824	0.36	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[okay?]	[okay?]	okay
9	TO065	21.184	23.172	1.988	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	forse potremmo averne per un po' eh?	forse potremmo averne per un po' eh?	forse potremmo averne per un po' eh
