tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	TO017	0.01	5.21	5.2	True	0	0	0	0	0	0	False	False	False	False	False		1	0	0	18	li confrontiamo tutti:, e (.) la domanda è riusciamo a trovare una serie di tratti una serie di strutture,	li confrontiamo tutti:, e {P} la domanda è riusciamo a trovare una serie di tratti una serie di strutture,	li confrontiamo tutti e {P} la domanda è riusciamo a trovare una serie di tratti una serie di strutture
1	TO017	5.64	8.12	2.48	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	comuni a tutti questi dialetti	comuni a tutti questi dialetti	comuni a tutti questi dialetti
2	TO017	8.28	8.549	0.269	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	mh,	mh,	mh
3	TO017	8.6	10.64	2.04	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	8	tutti i dialetti ce l' hanno e attenzione	tutti i dialetti ce l' hanno e attenzione	tutti i dialetti ce l' hanno e attenzione
4	TO017	10.685	12.41	1.725	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	a nessuna altra lingua semitica	a nessuna altra lingua semitica	a nessuna altra lingua semitica
5	TO017	12.863	13.462	0.599	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	>perché< altrim~	>perché< altrim~	perché altrim~
6	TO017	13.488	15.341	1.853	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	8	cioè noi abbiamo bisogno di qualcosa che identifichi,	cioè noi abbiamo bisogno di qualcosa che identifichi,	cioè noi abbiamo bisogno di qualcosa che identifichi
7	TO017	15.775	16.417	0.642	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	l' arabo,	l' arabo,	l' arabo
8	TO017	16.947	21.029	4.082	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	10	co:me, una realtà linguistica indipendente dal resto della famiglia semitica.	co:me, una realtà linguistica indipendente dal resto della famiglia semitica.	come una realtà linguistica indipendente dal resto della famiglia semitica
9	TO017	21.258	21.735	0.477	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	okay,	okay,	okay
10	TO017	22.344	24.155	1.811	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	poss:iamo farla questa cosa,	poss:iamo farla questa cosa,	possiamo farla questa cosa
11	TO017	25.026	28.045	3.019	True	0	0	0	0	0	0	False	False	False	False	False		1	0	0	7	ovviamente questo non richierebbe un lavoro (.) infinito,	ovviamente questo non richierebbe un lavoro {P} infinito,	ovviamente questo non richierebbe un lavoro {P} infinito
12	TO017	28.547	30.444	1.897	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	8	c' è qualcuno che c' ha provato: comunque,	c' è qualcuno che c' ha provato: comunque,	c' è qualcuno che c' ha provato comunque
13	TO017	31.484	31.795	0.311	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	ma	ma	ma
14	TO017	32.128	34.142	2.014	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	suspence. i risultati li discuteremo,	suspence. i risultati li discuteremo,	suspence i risultati li discuteremo
15	TO017	34.862	40.743	5.881	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	20	po:i, perché questo ci impiegherà tutto il resto del corso praticamente. andare a guardare quali sono le caratteristiche dei dialetti.	po:i, perché questo ci impiegherà tutto il resto del corso praticamente. andare a guardare quali sono le caratteristiche dei dialetti.	poi perché questo ci impiegherà tutto il resto del corso praticamente andare a guardare quali sono le caratteristiche dei dialetti
16	TO017	41.203	41.899	0.696	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	e:::h	e:::h	eh
17	TO017	41.998	44.583	2.585	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	9	possiamo dare un' ochhiata se volete dire quanto sono,	possiamo dare un' ochhiata se volete dire quanto sono,	possiamo dare un' ochhiata se volete dire quanto sono
18	TO017	44.608	45.492	0.884	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	intanto che ore sono	intanto che ore sono	intanto che ore sono
19	TO017	45.568	47.273	1.705	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	4	questa prima domanda fondamentale	questa prima domanda fondamentale	questa prima domanda fondamentale
20	TO017	47.512	48.154	0.642	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	°le tre okay°	°le tre okay°	le tre okay
21	TO017	49.046	50.086	1.04	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	quanto sono diversi?	quanto sono diversi?	quanto sono diversi
22	TO017	50.454	51.278	0.824	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	i dialetti?	i dialetti?	i dialetti
23	TO017	51.419	52.581	1.162	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	uno dall' altro?	uno dall' altro?	uno dall' altro
24	TO017	54.237	56.462	2.225	True	1	0	0	0	0	0	False	False	False	False	False		1	0	0	10	allora qua vi ho dato (.)  vi ho fatto cinque esempi,	allora qua vi ho dato {P} vi ho fatto cinque esempi,	allora qua vi ho dato {P} vi ho fatto cinque esempi
25	TO017	57.314	58.832	1.518	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	5	cosa vuol dire: questa frase?	cosa vuol dire: questa frase?	cosa vuol dire questa frase
26	???	61.06	62.055	0.995	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	cosa vuoi adesso?	cosa vuoi adesso?	cosa vuoi adesso
27	TO017	62.175	63.222	1.047	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	3	cosa vuoi adesso?	cosa vuoi adesso?	cosa vuoi adesso
28	TO017	63.377	65.137	1.76	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	6	okay? che in arabo standard sarebbe?	okay? che in arabo standard sarebbe?	okay che in arabo standard sarebbe
29	???	65.931	67.11	1.179	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	°xxxxxx°	°xxxxxx°	xxxxxx
30	TO017	67.538	68.423	0.885	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	2	°bravissimo lui.°	°bravissimo lui.°	bravissimo lui
31	TO017	68.892	69.392	0.5	True	0	0	0	0	0	0	False	False	False	False	False		0	0	0	1	beh	beh	beh
32	TO017	69.742	70.78	1.038	True	0	0	0	0	0	0	False	False	False	False	False		0	1	0	0	((ride))	{ride}	{ride}
