tu_id	speaker	start	end	duration	text
0	PKP031	0.880	1.120	0.240	okay
1	PKP031	2.250	3.340	1.090	ciao ragazzuole
2	PKP038	4.430	7.650	3.220	ciao, gianni che <piacere> [vederti] (.) ((ride))
3	PKP031	6.990	9.290	2.300	[ah vi dicevo] cioè la ale::
4	PKP031	11.580	14.180	2.600	son stato da lei son venuto:: via adesso
5	PKP031	15.375	16.200	0.825	(cioè) [son venuto a ca~]
6	PKP012	15.607	17.867	2.260	[AH da ieri] che ci siamo visti
7	PKP031	17.222	17.432	0.210	[sì]
8	PKP031	18.092	21.152	3.060	xx da da pomeriggio poi son tornato qua e:
9	PKP012	22.027	23.287	1.260	e your sister?
10	PKP031	24.312	29.032	4.720	e mia sorella e:: ha fatto quel cavolo che ha voluto è andata da suo moroso
11	PKP038	30.107	31.357	1.250	n~ c'ha controllo [xx]
12	PKP031	30.612	31.482	0.870	[ieri] xx
13	PKP031	31.562	34.942	3.380	[NO ma] (.) sai cosa siccome eravamo tutti e due via no
14	PKP012	31.567	32.537	0.970	[NO NO è che]
15	PKP031	36.165	40.885	4.720	i i miei possono vedere se c'è l'allarme o no a casa >se stiamo< via dovremo mettere l'allarme
16	PKP012	40.890	41.660	0.770	l'ha~ l'hai fatto?
17	PKP031	41.805	43.355	1.550	non abbiamo messo l'allarme
18	PKP031	43.750	47.550	3.800	#però abbiamo chiuso anche l'altra porticina a chiave e serà tutto:
19	PKP012	47.575	48.015	0.440	okay
20	PKP031	48.910	51.340	2.430	xxxxx [non vengono mai i ladri xxxx]
21	PKP012	49.440	54.990	5.550	[come se foste via (.) EH NO vabbé] ma non puoi scongiurare che non vengano mai e [proprio quella volta là vengono.]
22	PKP031	53.455	56.545	3.090	[lo so] (.) stavolta ho avuto °abbastanza fortuna° ((ride))
23	PKP031	57.150	60.730	3.580	però spero che non capiti mai più °cioè° che almeno uno dei due (.) sia a [casa]
24	PKP012	60.600	62.540	1.940	[e] e a che ora l'hai vista poi?
25	PKP031	62.715	66.700	3.985	eh (mia) [sorella io] non la vedo da::: da venerdì
26	PKP012	63.380	64.150	0.770	[eh (your)]
27	PKP038	66.770	67.350	0.580	((ride))
28	PKP012	66.860	67.420	0.560	okay
29	PKP031	67.640	72.930	5.290	x è passata per casa >perchè ho visto che è passata per casa< ma °non so dove sia° adesso sarà sempre là con.
30	PKP012	72.940	75.230	2.290	e i tuoi quando tornano stasera? o domani,
31	PKP031	76.010	77.870	1.860	tornano: adesso (qua)
32	PKP031	79.245	80.865	1.620	NO NO mia mamma ha lezione
33	PKP012	81.420	81.680	0.260	EH
34	PKP012	81.985	83.655	1.670	in didattica a distanza?
35	PKP031	84.150	84.827	0.677	#°sì°(.) ara beppe
36	PKP012	85.815	86.585	0.770	eh. alleluia
37	PKP038	87.463	87.823	0.360	°dov'è?°
38	PKP012	88.625	89.225	0.600	in fon[do,]
39	PKP031	88.810	89.660	0.850	[là in fondo,]
40	PKP012	91.160	93.550	2.390	la sandra è sempre quella ritardataria ((ride))
41	PKP031	93.590	95.140	1.550	sì ma la sandra c'è:: [va~]
42	PKP038	94.850	97.940	3.090	[perchè] dice un orario [però poi] l'autobus passa a un altro [orario.]
43	PKP031	96.030	96.580	0.550	[NO uno]
44	PKP031	97.515	101.095	3.580	[QUATTRO e mezza ci sta] perchè comunque un'ora e mezza va bene ma:
45	PKP012	97.960	99.160	1.200	[(sono) le quaranta,]
46	PKP012	101.510	104.430	2.920	sì ma alle sei chiudono tutto ciao: ((ride))
47	PKP038	105.120	109.950	4.830	beh ieri sono andata a una laurea ci hanno [diviso] però (.) perché l'aveva già [prenotata °da tempo°]
48	PKP031	107.115	107.555	0.440	[ah se?]
49	PKP031	109.040	109.930	0.890	[ma: a pranzo?]
50	PKP038	110.125	110.415	0.290	°sì°
51	PKP038	111.265	115.725	4.460	[infatti non] sono riuscita a andare a canto (.) però l'ho fatto on line (.) l'ho [chiamata]
52	PKP012	111.315	111.765	0.450	[come?]
53	PKP031	111.600	111.830	0.230	[di chi?]
54	PKP031	115.190	115.880	0.690	[°ah okay°]
