tu_id	speaker	start	end	duration	text
0	BOI059	0.007	1.212	1.205	>un'intro nome cognome qualcosa?<
1	BOR017	2.236	3.100	0.864	dove sei nata?
2	BOI059	3.885	4.690	0.805	a bologna
3	BOI059	4.898	7.491	2.593	non su in via d'azeglio ma al maggiore
4	BOR017	8.210	9.591	1.381	e dove abiti adesso?
5	BOI059	9.900	11.267	1.367	a casalecchio di reno
6	BOI059	11.393	15.607	4.214	che è come dire bologna nel senso che facciamo parte della città metropolitana
7	BOI059	15.921	19.333	3.412	un tempo eravamo due comuni separati e adesso solo sulla carta
8	BOI059	19.407	21.200	1.793	>ma ci piacerebbe rimanerlo< grazie
9	BOR017	21.000	21.520	0.520	((ride))
10	BOI059	21.672	22.027	0.355	((ride))
11	BOR017	22.047	23.079	1.032	e il quartie:re?
12	BOI059	23.239	24.097	0.858	il quartiere è
13	BOI059	24.186	25.470	1.284	essendo un altro
14	BOI059	25.614	26.197	0.583	comune
15	BOI059	26.244	27.257	1.013	non è un quartiere
16	BOI059	27.643	27.892	0.249	poi
17	BOI059	28.053	31.430	3.377	all'interno di casalecchio sto nel quartiere del: vecchio municipio
18	BOI059	31.906	32.667	0.761	parco talon
19	BOR017	33.013	34.963	1.950	hai sempre vissuto quindi a bologna
20	BOI059	34.980	35.393	0.413	n[i]
21	BOR017	35.220	35.833	0.613	°[mh] n[o]°
22	BOI059	35.706	36.893	1.187	[sì] allora a bologna sì
23	BOI059	37.297	40.518	3.221	nel senso che io sono na:ta: e sta:vo in  corticella
24	BOI059	41.095	41.498	0.403	poi
25	BOI059	41.793	46.474	4.681	eh mamma e papà si sono separati io con mamma sono tornata a quella che era l'origine di mamma
26	BOI059	46.849	47.409	0.560	che è
27	BOI059	47.563	48.792	1.229	la zona dell'aeroporto
28	BOI059	48.952	50.691	1.739	>più (precisamente quella) dell'acqua azzurra<
29	BOI059	50.930	54.990	4.060	che è la vecchia fornace ma >per quell~ già quelli della mia generazione era già< l'acqua azzurra
30	BOI059	55.305	56.307	1.002	e l'aeroporto
31	BOI059	56.920	60.186	3.266	poi ci siamo trasferiti per (ehm) un ritorno di mamma alle origini
32	BOI059	60.315	62.476	2.161	già con un pa~ un nuovo patrigno e tutto
33	BOI059	62.852	64.550	1.698	a calderara di reno che  è
34	BOI059	64.938	67.779	2.841	un filo meno bologna ma ci sentiamo comunque ancora [bolognesi]
35	BOR017	67.151	67.779	0.628	[°bolognesi°]
36	BOI059	68.046	69.571	1.525	e poi la mia vita è proseguita
37	BOI059	69.846	71.623	1.777	e ora sto a casalecchio appunto
38	BOR017	72.658	74.156	1.498	e:h da quanto vivi:
39	BOI059	74.162	75.572	1.410	a <casa[lecchio]>
40	BOR017	74.822	75.906	1.084	[a casalecchio] quind[i]?
41	BOI059	75.811	77.388	1.577	[s]o:no:
42	BOI059	78.127	78.873	0.746	otto anni
43	BOR017	78.913	79.480	0.567	°otto [anni]°
44	BOI059	79.243	80.315	1.072	[pra]ticamente ((ride))
45	BOI059	80.836	81.209	0.373	((ride))
46	BOR017	81.294	82.102	0.808	[come ti trovi?]
47	BOI059	81.297	84.065	2.768	[otto di trenta~]  o~ [otto di] trentasette sono vecchia
48	BOR017	82.286	82.639	0.353	[come]
49	BOR017	84.086	85.237	1.151	xxxx
50	BOI059	84.329	85.757	1.428	((ride))
51	BOR017	85.865	87.776	1.911	come ti trovi in questa città quindi?
52	BOI059	87.865	88.240	0.375	bene
53	BOI059	88.348	92.927	4.579	mi trovo bene sia a casalecchio che a casalecchio in quanto è facente parte di bologna
54	BOI059	93.501	95.458	1.957	perchè casalecchio da solo non avrebbe
55	BOI059	95.784	97.202	1.418	tutte le: m:h
56	BOI059	97.501	98.922	1.421	tutto quello che trovo a bologna
57	BOI059	99.138	100.685	1.547	alcuni negozi >alcune cose (no)<
58	BOI059	100.709	102.151	1.442	poi siamo fortunati abbiamo:
59	BOI059	102.472	105.496	3.024	supermercati cinema: ogni genere di cose
60	BOI059	105.911	108.328	2.417	però a volte devi prendere la macchina e andar su fino a [bologna]
61	BOR017	107.901	109.803	1.902	[beh comunque] con i mezzi è °[fattibile]°
62	BOI059	109.057	111.731	2.674	e[satto o anche so]lamente per andare a una sera: al pub
63	BOR017	113.399	115.637	2.238	hai detto di avere trentasette anni
64	BOR017	115.720	120.771	5.051	pensi che durante la tua vita a bologna in generale sia cambiata in quanto città?
65	BOI059	121.811	122.167	0.356	ni
66	BOI059	122.461	128.323	5.862	allora nell'arco della mia vita io sono una di quelle che ha visto bologna diventare da città
67	BOI059	128.515	129.985	1.470	al massimo per stude:nti
68	BOI059	130.426	131.572	1.146	a città
69	BOI059	131.954	133.701	1.747	per (.) anche turisti
70	BOI059	134.094	136.566	2.472	quindi l'ho vista cambiare nel senso che ho visto:
71	BOI059	136.851	140.741	3.890	molti più supermercati aprirsi: aumentare tantissimo:
72	BOI059	141.005	146.493	5.488	e:h l~  le vie del~ dello shopping  nel senso una volta via indipendenza non era la via dello shopping  come lo è adesso
73	BOI059	146.721	149.345	2.624	a differenza di via farini che è la via dello shopping dei ricchi
74	BOI059	149.557	150.930	1.373	ma quello lo è sempre stato
75	BOR017	150.403	151.045	0.642	((ride))
76	BOI059	151.488	153.567	2.079	e: quindi l'ho vista cambiare sì
77	BOI059	153.876	155.520	1.644	non dico in peggio
78	BOI059	155.717	156.704	0.987	perchè comunque
79	BOI059	157.062	159.253	2.191	io capisco le potenzialità del turismo
80	BOI059	159.817	163.531	3.714	non dico in meglio perchè comunque s'è riempita un
81	BOI059	163.838	167.294	3.456	filo tanto e stiamo perdendo  alcune cose molto belle tipo
82	BOI059	167.720	170.085	2.365	la basilica dei servi che ci stanno facendo un conad
