tu_id	speaker	start	end	duration	text
0	PKP094	0.010	0.530	0.520	~gari
1	PKP094	0.633	1.943	1.310	vuoi andare su:
2	PKP056	2.169	3.239	1.070	in mansa[rda]
3	PKP093	2.943	3.985	1.042	[in piccionaia]
4	PKP094	2.971	4.338	1.367	[in mansarda] eh
5	PKP094	4.633	6.605	1.972	lì forse staresti meglio eh secondo me
6	PKP093	6.816	9.394	2.578	quando avrò una camera mia con ta[nto di scrivania]
7	PKP094	8.450	17.900	9.450	[sì lo so] ma nel frattempo volendo anche ci potresti andare lì la sera potresti anche: studiare qui che nessuno: ti rompe i coglioni [eh.]
8	PKP093	17.840	21.453	3.613	[sì] ma tanto poi entrare  (è tutto un) entra e esci e:
9	PKP094	22.040	26.780	4.740	o se no lassù: nello studio con me, [ci] sta eh tutti e due [eh]
10	PKP093	25.700	28.550	2.850	[no::] [ma] io mi metto lì sopra xx
11	PKP056	30.030	31.100	1.070	la caterina?
12	PKP094	31.756	38.760	7.004	caterina dopo le nove e mezzo [viene] xxx ha detto mi chiama: tocca a stare lì a aspettarla tutte le volte che [due]
13	PKP056	33.093	33.213	0.120	[mh]
14	PKP056	37.593	37.953	0.360	[xxx]
15	PKP094	39.620	45.110	5.490	no no ma ci vado ma lei mi chiama:, babbo forza arriva eh, parti subito
16	PKP094	45.148	49.528	4.380	io parto subito e poi sto lì ce~ ma non sapevo che tu c'eri e
17	PKP093	49.760	50.784	1.024	[mezz'ora d'attesa]
18	PKP094	49.766	51.586	1.820	sicché ho [dovuto (mezzo)aspettare] e scusa e,
19	PKP094	51.886	53.586	1.700	
20	PKP094	53.870	57.670	3.800	oltretutto il parcheggio è strapieno: [bisogna sta~ lì]
21	PKP056	55.590	56.045	0.455	[eh,]
22	PKP093	56.170	60.874	4.704	[ma dove:] ma dov'è l'allenamento
23	PKP094	58.080	61.357	3.277	eh sempre li::: a:: a [zo~ (zocca)]
24	PKP056	60.460	62.900	2.440	[oggi a zocca] oggi ho visto un v[ideo:]
25	PKP093	62.035	64.040	2.005	[ma scusa] eh ma perché non può venire da sola
26	PKP094	64.630	69.590	4.960	no dai ora [la sera così] nce~  vien de: d'es~ d'estate (.) [a piedi] e lo so
27	PKP056	64.910	66.107	1.197	[ora è buio]
28	PKP093	67.866	68.535	0.669	[sì va bene]
29	PKP093	69.802	70.980	1.178	[ma che senso ha]
30	PKP094	69.916	72.796	2.880	[quelle altre sue] amiche: vanno a piedi lei non ci vuol venire
31	PKP094	73.265	77.715	4.450	[e::] non ci piac~ non ci va neanche il pomeriggio figura[ti se o]ra
32	PKP056	73.610	74.690	1.080	[è una contessa]
33	PKP093	76.928	77.490	0.562	[sì ma]
34	PKP094	77.855	79.915	2.060	ora la sera fa bene a torna~ [da sola eh]
35	PKP056	78.949	80.112	1.163	[la sera dai]
36	PKP093	80.225	81.169	0.944	[ma la sera poi chi c'è]
37	PKP094	80.490	83.070	2.580	[vado volentieri a prenderla °però eh:°]
