tu_id	speaker	start	end	duration	text
0	TO017	0.010	5.210	5.200	li confrontiamo tutti:, e (.) la domanda è riusciamo a trovare una serie di tratti una serie di strutture,
1	TO017	5.640	8.120	2.480	comuni a tutti questi dialetti
2	TO017	8.280	8.549	0.269	mh,
3	TO017	8.600	10.640	2.040	tutti i dialetti ce l' hanno e attenzione
4	TO017	10.685	12.410	1.725	a nessuna altra lingua semitica
5	TO017	12.863	13.462	0.599	>perché< altrim~
6	TO017	13.488	15.341	1.853	cioè noi abbiamo bisogno di qualcosa che identifichi,
7	TO017	15.775	16.417	0.642	l' arabo,
8	TO017	16.947	21.029	4.082	co:me, una realtà linguistica indipendente dal resto della famiglia semitica.
9	TO017	21.258	21.735	0.477	okay,
10	TO017	22.344	24.155	1.811	poss:iamo farla questa cosa,
11	TO017	25.026	28.045	3.019	ovviamente questo non richierebbe un lavoro (.) infinito,
12	TO017	28.547	30.444	1.897	c' è qualcuno che c' ha provato: comunque,
13	TO017	31.484	31.795	0.311	ma
14	TO017	32.128	34.142	2.014	suspence. i risultati li discuteremo,
15	TO017	34.862	40.743	5.881	po:i, perché questo ci impiegherà tutto il resto del corso praticamente. andare a guardare quali sono le caratteristiche dei dialetti.
16	TO017	41.203	41.899	0.696	e:::h
17	TO017	41.998	44.583	2.585	possiamo dare un' ochhiata se volete dire quanto sono,
18	TO017	44.608	45.492	0.884	intanto che ore sono
19	TO017	45.568	47.273	1.705	questa prima domanda fondamentale
20	TO017	47.512	48.154	0.642	°le tre okay°
21	TO017	49.046	50.086	1.040	quanto sono diversi?
22	TO017	50.454	51.278	0.824	i dialetti?
23	TO017	51.419	52.581	1.162	uno dall' altro?
24	TO017	54.237	56.462	2.225	allora qua vi ho dato (.)  vi ho fatto cinque esempi,
25	TO017	57.314	58.832	1.518	cosa vuol dire: questa frase?
26	???	61.060	62.055	0.995	cosa vuoi adesso?
27	TO017	62.175	63.222	1.047	cosa vuoi adesso?
28	TO017	63.377	65.137	1.760	okay? che in arabo standard sarebbe?
29	???	65.931	67.110	1.179	°xxxxxx°
30	TO017	67.538	68.423	0.885	°bravissimo lui.°
31	TO017	68.892	69.392	0.500	beh
32	TO017	69.742	70.780	1.038	((ride))
33	TO017	71.263	72.571	1.308	vi piace vincere facile.
34	TO017	72.820	74.082	1.262	e:::h=mh
35	TO017	75.039	77.417	2.378	okay questi sono i dialetti (di) cinque
36	TO017	77.901	78.701	0.800	<grosse>
37	TO017	79.121	79.485	0.364	e:h
38	TO017	80.583	83.353	2.770	ca:pita:li o città importanti del mondo arabo,
39	TO017	85.469	88.150	2.681	in cui si di~ si dice sempre la stessa cosa. che cosa vuoi adesso.
40	TO017	88.210	92.763	4.553	noterete che l' ho scritto in alfabeto latino con dei segni particolari e non in alfabeto arabo
41	TO017	92.764	93.157	0.393	perchè.
42	TO017	93.848	97.808	3.960	e:h perché come abbiamo detto i dialetti non hanno un sistema di scrittura ufficiale,
43	TO017	98.146	99.086	0.940	in alfabeto arabo,
44	TO017	99.100	107.468	8.368	quindi in dialettologia quando noi scriviamo i dialetti li scriviamo in alfabeto (.) latino, con dei segni (.) per rappresentare i suoni che mancano.
45	TO017	107.468	110.399	2.931	perché qual è il problema. che l' alfabeto (.) arabo,
46	TO017	110.921	112.967	2.046	è perfetto per scrivere l' arabo standard,
47	TO017	113.241	115.037	1.796	°ci mancherebbe. è stato fatto apposta.°
48	TO017	116.040	116.479	0.439	ma.
49	TO017	117.032	119.296	2.264	mancano un sacco di suoni che ci sono nei dialetti.
50	TO017	119.852	123.338	3.486	e quindi  per esempio noi >in alfabeto arabo< non posso scrivere tʃ,
51	TO017	123.627	125.237	1.610	non posso scrivere: g,
52	TO017	125.362	127.192	1.830	non posso scrivere e,
53	TO017	127.807	129.930	2.123	>per lo meno per lo meno< in termini non ambigui.
54	TO017	130.510	130.976	0.466	quindi
55	TO017	131.800	136.846	5.046	nel momento in cu:i un qualche stato arabo e non sembra che succederà nel prossimo futuro
56	TO017	136.871	140.387	3.516	nel momento in cui <uno qualche stato arabo> voless:e ufficiliazzare il dialetto,
57	TO017	140.438	142.939	2.501	dovrebbe pensare a un sistema ortografico per scriverlo.
58	TO017	142.975	143.992	1.017	=un insieme di  (.) di regole.
59	TO017	144.437	145.953	1.516	okay. per ora questo non è successo
60	TO017	146.352	150.523	4.171	quindi noi continuiamo a scrivere i dialetti nel nostro (.) nella nostra trascrizione scientifica,
61	TO017	150.722	155.895	5.173	ci torneremo, poi facciamo uno spiegone su tutti i simboli che usiamo così nessuno si confonde ma.
62	TO017	156.459	159.275	2.816	rapidamente così per sentire (.) e::h
63	TO017	159.694	160.924	1.230	per  vedere come suonano
64	TO017	161.979	164.188	2.209	allora io li posso leggere (.) però,
65	TO017	164.613	166.681	2.068	(allora) io sono pessimo a fare gli accenti quindi
66	TO017	167.073	168.325	1.252	ve li leggo così come mi vengono
67	TO017	168.605	169.369	0.764	facciamo che
68	TO017	169.981	172.644	2.663	il ca:iro lo legge qualcuno (.) un egiziano,
69	TO017	172.699	173.438	0.739	un egiziano?
70	???	173.652	173.941	0.289	°io°
71	TO017	174.093	174.407	0.314	tu.
72	TO017	174.433	176.023	1.590	vai leggimi: il cairo,
73	TO017	176.073	177.528	1.455	come puoi dici cosa vuoi adesso?
74	???	177.635	178.658	1.023	xxx
75	TO017	178.776	179.387	0.611	oka:y,
76	TO017	179.746	183.553	3.807	e qualcuno un (.) dal marocco rabat che mi legga:
77	TO017	183.648	187.363	3.715	che mi dica (non) mi serve che mi correggete co~ cosa vuoi adesso in marocchino.
78	TO017	187.570	188.312	0.742	in rabatino.
79	TO017	188.734	189.232	0.498	eh,
80	???	189.293	190.346	1.053	xxxxxxx
81	TO017	190.341	191.980	1.639	o:kay xxxxxx
82	TO017	192.035	192.510	0.475	okay
83	TO017	193.535	194.264	0.729	gli a:ltri:
84	TO017	194.500	197.711	3.211	e secondo me continuereste a leggere meglio di quanto possa fare i:o
85	TO017	197.741	199.729	1.988	comunque sono gli a:rabi in arabia saudi:ta,
86	TO017	199.776	201.247	1.471	xxxxx
87	TO017	201.494	201.676	0.182	mh?
88	TO017	202.531	203.235	0.704	a damasco
89	TO017	203.558	204.270	0.712	xxxxx
90	TO017	204.764	205.941	1.177	e (.) a baghdad,
91	TO017	206.294	207.376	1.082	xxxx
92	TO017	207.405	207.677	0.272	okay,
93	TO017	208.038	208.660	0.622	(questi sono,)
94	TO017	208.767	209.741	0.974	ed è sempre la stessa frase.
95	TO017	210.140	211.834	1.694	quindi a livello di variazione quanta ne abbiamo
96	TO017	211.964	212.517	0.553	parecchia.
97	TO017	213.151	213.914	0.763	mh tanta.
98	TO017	214.211	220.388	6.177	allora (.) c' è da dire che questo è il lessico di base il lessico di base quello più usato (.) tende a cambiare di più
99	TO017	220.606	222.294	1.688	è fatto di parole, come,
100	TO017	223.508	224.805	1.297	pidginizzaz:ione
101	TO017	224.899	227.444	2.545	°d' accordo°, pidginizzazione è una parola che tende a rimanere ugua:le
102	TO017	227.489	228.247	0.758	è dappertutto.
103	TO017	228.588	229.311	0.723	e:::h
104	TO017	229.553	232.388	2.835	il ve~ il verbo volere tende a cambiare molto di più:
105	TO017	233.392	235.917	2.525	però (.) comunque vede~ vedete che a livello di lessico di base,
106	TO017	236.215	239.900	3.685	la differenza (.) dei dialetti tra loro e dei dialetti dal classico è notevolissima.
107	TO017	240.132	240.564	0.432	e::h
108	TO017	240.608	242.211	1.603	in effetti avete soltanto:
109	TO017	242.247	242.872	0.625	e:::h
110	TO017	243.177	243.829	0.652	baghdad,
111	TO017	243.845	244.664	0.819	che riprende:
112	TO017	244.767	245.705	0.938	la radice no,
113	TO017	245.958	246.488	0.530	e:::h
114	TO017	246.595	248.970	2.375	del verbo:, xxx
115	TO017	249.246	250.523	1.277	il volere (.) del classico,
116	TO017	250.801	251.713	0.912	per il resto,
117	???	251.720	255.514	3.794	((parla in arabo))
118	TO017	255.520	255.850	0.330	mh,
119	???	255.850	258.367	2.517	((parla in arabo))
120	TO017	258.368	258.552	0.184	mh mh
121	???	258.544	259.938	1.394	((parla in arabo))
122	TO017	259.958	263.011	3.053	sì sì sì tutti sono=sono sono sicuro che tutti derivino da:
123	TO017	263.087	266.958	3.871	e:h radici arabe ma dico che la somiglianza di questa frase in arabo standard
124	TO017	267.110	269.729	2.619	co:n (.) la frase nei vari dialetti è molto poca.
125	TO017	270.011	271.294	1.283	c' è giusto un' idea,
126	TO017	271.593	272.771	1.178	nel (.) baghdadino.
127	TO017	273.609	274.100	0.491	okay,
128	TO017	274.757	275.323	0.566	e:::h
129	TO017	275.417	276.794	1.377	quindi abbiamo parecchia,
130	TO017	277.494	285.458	7.964	differenza, e (.) ricordatevi stiamo parlando di dialetti di cinque capitali e di cinque grosse città. okay, se vado a considerare quello che succ:ede,
131	TO017	285.943	286.500	0.557	e:::h
132	TO017	286.952	291.511	4.559	se vado a pren~ comincio andare a prendere qualche dialetto, sperduto delle campagne e delle montagne,
133	TO017	292.389	294.361	1.972	la faccenda si complica e non di poco.
134	TO017	294.732	297.000	2.268	qui ho fatto una slide con alcuni pronomi,
135	TO017	297.100	299.294	2.194	la >realizzazione< dei pronomi in alcuni dialetti,
136	TO017	301.811	302.747	0.936	marginali
137	TO017	302.893	303.771	0.878	tra virgolette
138	TO017	303.975	304.521	0.546	okay,
139	TO017	304.904	307.511	2.607	avete i pronomi suffissi di seconda persona plurale,
140	TO017	307.587	309.300	1.713	e i pronomi i:ndipendenti
141	TO017	309.362	310.767	1.405	indipendenti occhio.
142	TO017	311.221	312.535	1.314	di terza persona plurale.
143	TO017	312.567	314.568	2.001	maschile e femminile rispettivamente
144	TO017	314.734	314.735	0.001	
145	TO017	314.735	318.805	4.070	(allora) posto che un sacco di reti non hanno questa distinzione. maschile e femminile vanno insieme,
146	TO017	319.046	320.670	1.624	tutti questi dialetti ce l' hanno ancora,
147	TO017	320.770	323.200	2.430	d s:i parla di molti posti diversi,
148	TO017	323.467	327.634	4.167	nel mondo arabo e fuo:ri perché abbiamo anche alcuni dialetti dell' uzbe~ un dialetto dell' uzbekistan,
149	TO017	330.657	331.585	0.928	e vedete che ne avete,
150	TO017	332.439	333.492	1.053	di tutti i colori,
151	TO017	333.516	333.951	0.435	okay,
152	TO017	333.999	335.180	1.181	avete per esempio:,
153	TO017	335.461	338.517	3.056	(avete delle) forme che ancora possono ricordare il xx il xx
154	TO017	338.658	341.211	2.553	dell' arabo standard (vedete) xx xx,
155	TO017	342.037	343.008	0.971	avete un co:,
156	TO017	343.024	343.811	0.787	a palmira,
157	TO017	343.912	347.764	3.852	nella palestina rurale la palestina (se uscite) a gerusalemme, andate un po' a farvi i gi:ri,
158	TO017	347.800	351.352	3.552	nella cisgiordania potete sentire gente che invece di xx
159	TO017	351.620	351.977	0.357	xx
160	TO017	352.188	352.812	0.624	e xx,
161	TO017	353.235	353.851	0.616	okay,
162	TO017	354.153	356.196	2.043	e:::h in turchia è xx
163	TO017	356.290	358.476	2.186	e in turchia avete la stessa >cosa< ma solo per il femminile,
164	TO017	358.555	361.055	2.500	(avete) xxx al maschile ma xxx al femminile,
165	TO017	361.561	364.258	2.697	in xxx avete xxx per il maschile e xxx,
166	TO017	364.541	365.870	1.329	per il (.) femminile,
167	TO017	367.159	368.042	0.883	e::::h
168	TO017	368.741	370.258	1.517	xxx sempre in arabia saudita,
169	TO017	371.042	373.250	2.208	per quello che riguarda i pronomi indipendenti:,
170	TO017	373.524	376.829	3.305	avete il tipico e molto siriano xxx,
171	TO017	376.884	379.751	2.867	con questa enne finale probabilmente viene dall' aramaico non si sa,
172	TO017	380.152	382.287	2.135	avete questo s:tranissimo xxx,
173	TO017	383.072	384.944	1.872	a palmira (.) per dire (.) xxx
174	TO017	385.724	386.077	0.353	e:h,
175	TO017	386.385	387.317	0.932	xxx xxx
176	TO017	387.754	394.443	6.689	e:h e poi altrettanto strani (in qu~ questo) dialetto dialetto uzbeko di bukhara invece di xxx e xxx dicono,
177	TO017	394.863	395.668	0.805	xxx,
178	TO017	395.893	396.692	0.799	e xxx.
179	TO017	396.811	397.273	0.462	okay
180	TO017	397.321	397.912	0.591	per dire,
181	TO017	398.571	400.873	2.302	loro (.) uomini e loro (.) donne,
182	TO017	401.056	404.101	3.045	è abbastanza strano anche xxx in mauritania che ha,
183	TO017	404.769	406.331	1.562	xxx, e xxx.
184	TO017	406.450	406.975	0.525	okay
185	TO017	407.182	407.698	0.516	quindi.
186	TO017	408.237	408.820	0.583	appunto
187	TO017	409.213	411.750	2.537	anche a livello di struttura morfologica di ba:se.
188	TO017	411.803	412.982	1.179	e:h i pronomi,
189	TO017	413.189	414.872	1.683	avete un bel po' di variazione.
190	TO017	414.911	417.184	2.273	e queste sono alcu:ne solo (.) delle forme.
191	TO017	419.494	425.475	5.981	quindi (.) rimandiamo per ora la risposta alla nostra domanda (.) di possiamo trovare qualcosa che tutti i
192	TO017	425.769	427.736	1.967	i dialetti. incluso l' arabo standard
193	TO017	427.843	428.783	0.940	hanno in comune,
194	TO017	431.041	433.056	2.015	a cui proveremo a rispondere più ava:nti,
195	TO017	433.895	434.628	0.733	rimane,
196	TO017	435.214	436.133	0.919	una possibilità.
197	TO017	436.214	437.352	1.138	di classificazione.
198	TO017	438.705	439.544	0.839	che è questa.
199	TO017	439.846	442.290	2.444	noi abbiamo parlato di variazioni diatopiche,
200	TO017	443.204	445.952	2.748	proviamo a guardare in senso diacronico. voi potete dire >va bene<.
201	TO017	446.582	452.175	5.593	allora tutti >questi< dialetti sono <diversi:ss:imi> o mio dio quanti dialetti diversi ci sono non riusciremo mai a metterci o:rdine,
202	TO017	452.343	453.118	0.775	è impossibile.
203	TO017	453.408	453.664	0.256	m:h,
204	TO017	453.946	454.884	0.938	allora facciamo una cosa
205	TO017	455.819	457.366	1.547	torniamo >indietro< nel tempo
206	TO017	457.395	457.739	0.344	m:h,
207	TO017	457.783	462.668	4.885	magari non tutte queste lingue che ora sono spa:rse su questo territorio vastissimo e che hanno >tutti questi< tratti differenti,
208	TO017	462.717	465.331	2.614	forse una vo:lta (.) no, hanno un discendente comune
209	TO017	465.765	467.474	1.709	okay, (cioè) derivano tutte,
210	TO017	467.708	469.367	1.659	da una varietà di arabo,
211	TO017	470.264	470.910	0.646	da u:n,
212	TO017	477.344	478.787	1.443	proto (.) arabo
213	TO017	478.956	480.462	1.506	proto vuol dire gli inizi.
214	TO017	480.585	481.148	0.563	okay,
215	TO017	481.392	483.875	2.483	sapete che questa cosa è stata fatta per le lingue indoeuropee,
216	TO017	483.997	485.289	1.292	se avete fatto un corso di
